m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,7742.636826811277,0.8274714828897338,0.8247863247863247
1,2,5,cbow,7742.636826811277,0.9011660188784008,0.8955223880597015
1,2,5,skipgram,7742.636826811277,0.9422543031649084,0.9502487562189056
1,2,6,SVD,3.593813663804626,0.6820342205323194,0.6452991452991453
1,2,6,cbow,599.4842503189421,0.8689616879511383,0.845771144278607
1,2,6,skipgram,7742.636826811277,0.9422543031649084,0.9552238805970148
1,2,7,SVD,46.41588833612782,0.5663338088445078,0.5811965811965812
1,2,7,cbow,599.4842503189421,0.8527777777777777,0.7960199004975125
1,2,7,skipgram,7742.636826811277,0.9427777777777778,0.9353233830845772
1,2,8,SVD,46.41588833612782,0.5953399904897765,0.5811965811965812
1,2,8,cbow,46.41588833612782,0.8361111111111111,0.7661691542288557
1,2,8,skipgram,46.41588833612782,0.9388888888888888,0.9502487562189056
1,2,9,SVD,3.593813663804626,0.5963826749167064,0.6452991452991453
1,2,9,cbow,46.41588833612782,0.8205555555555556,0.7860696517412935
1,2,9,skipgram,599.4842503189421,0.9327777777777778,0.9601990049751244
1,2,10,SVD,0.2782559402207126,0.6178010471204188,0.6538461538461539
1,2,10,cbow,599.4842503189421,0.8111111111111111,0.7810945273631841
1,2,10,skipgram,3.593813663804626,0.93,0.9552238805970148
1,3,5,SVD,100000.0,0.8498098859315589,0.8504273504273504
1,3,5,cbow,599.4842503189421,0.9383675735702388,0.9601990049751244
1,3,5,skipgram,599.4842503189421,0.9400333148250972,0.965174129353234
1,3,6,SVD,100000.0,0.8454588682834047,0.8632478632478633
1,3,6,cbow,7742.636826811277,0.9327777777777778,0.9552238805970148
1,3,6,skipgram,7742.636826811277,0.9427777777777778,0.9701492537313432
1,3,7,SVD,100000.0,0.8483119353304802,0.8632478632478633
1,3,7,cbow,599.4842503189421,0.9261111111111112,0.9502487562189056
1,3,7,skipgram,100000.0,0.9444444444444444,0.965174129353234
1,3,8,SVD,100000.0,0.8468125594671742,0.8547008547008547
1,3,8,cbow,7742.636826811277,0.9222222222222224,0.945273631840796
1,3,8,skipgram,100000.0,0.9438888888888888,0.9701492537313432
1,3,9,SVD,100000.0,0.8476915754402665,0.8547008547008547
1,3,9,cbow,599.4842503189421,0.9083333333333332,0.9203980099502488
1,3,9,skipgram,599.4842503189421,0.9444444444444444,0.9701492537313432
1,3,10,SVD,7742.636826811277,0.8271428571428572,0.8162393162393162
1,3,10,cbow,7742.636826811277,0.8933333333333333,0.8955223880597015
1,3,10,skipgram,7742.636826811277,0.9472222222222222,0.965174129353234
1,4,5,SVD,7742.636826811277,0.8530670470756063,0.8675213675213675
1,4,5,cbow,599.4842503189421,0.9444444444444444,0.9701492537313432
1,4,5,skipgram,100000.0,0.9438888888888888,0.9701492537313432
1,4,6,SVD,7742.636826811277,0.8516405135520685,0.8675213675213675
1,4,6,cbow,599.4842503189421,0.9455555555555556,0.9701492537313432
1,4,6,skipgram,100000.0,0.9466666666666668,0.965174129353234
1,4,7,SVD,599.4842503189421,0.8501427212178877,0.8675213675213675
1,4,7,cbow,599.4842503189421,0.9461111111111112,0.965174129353234
1,4,7,skipgram,7742.636826811277,0.9466666666666668,0.9552238805970148
1,4,8,SVD,599.4842503189421,0.8505473584007616,0.8675213675213675
1,4,8,cbow,7742.636826811277,0.9461111111111112,0.9552238805970148
1,4,8,skipgram,599.4842503189421,0.9444444444444444,0.9601990049751244
1,4,9,SVD,7742.636826811277,0.8542857142857143,0.8461538461538461
1,4,9,cbow,7742.636826811277,0.9472222222222222,0.965174129353234
1,4,9,skipgram,7742.636826811277,0.945,0.965174129353234
1,4,10,SVD,599.4842503189421,0.8514285714285714,0.8376068376068376
1,4,10,cbow,7742.636826811277,0.9477777777777778,0.9601990049751244
1,4,10,skipgram,7742.636826811277,0.9455555555555556,0.965174129353234
1,5,5,SVD,7742.636826811277,0.8383262006657156,0.8547008547008547
1,5,5,cbow,0.2782559402207126,0.9327777777777778,0.9502487562189056
1,5,5,skipgram,46.41588833612782,0.9305555555555556,0.9303482587064676
1,5,6,SVD,46.41588833612782,0.7431018078020932,0.7649572649572649
1,5,6,cbow,0.2782559402207126,0.925,0.9402985074626866
1,5,6,skipgram,3.593813663804626,0.9077777777777778,0.9203980099502488
1,5,7,SVD,46.41588833612782,0.8081865778200856,0.8076923076923077
1,5,7,cbow,0.2782559402207126,0.9161111111111112,0.9353233830845772
1,5,7,skipgram,46.41588833612782,0.8983333333333333,0.9054726368159204
1,5,8,SVD,46.41588833612782,0.7933333333333333,0.7777777777777778
1,5,8,cbow,0.2782559402207126,0.905,0.900497512437811
1,5,8,skipgram,0.0215443469003188,0.8861111111111111,0.9104477611940298
1,5,9,SVD,0.2782559402207126,0.7647619047619048,0.7521367521367521
1,5,9,cbow,0.2782559402207126,0.8933333333333333,0.900497512437811
1,5,9,skipgram,0.2782559402207126,0.8794444444444445,0.900497512437811
1,5,10,SVD,3.593813663804626,0.7676190476190476,0.7521367521367521
1,5,10,cbow,0.2782559402207126,0.8855555555555555,0.8905472636815921
1,5,10,skipgram,3.593813663804626,0.8744444444444445,0.8955223880597015
1,6,5,SVD,599.4842503189421,0.8353948620361561,0.8547008547008547
1,6,5,cbow,0.0215443469003188,0.9222222222222224,0.945273631840796
1,6,5,skipgram,3.593813663804626,0.8833333333333333,0.8955223880597015
1,6,6,SVD,3.593813663804626,0.6682532127558306,0.6623931623931624
1,6,6,cbow,3.593813663804626,0.9205555555555556,0.9402985074626866
1,6,6,skipgram,3.593813663804626,0.8777777777777778,0.8955223880597015
1,6,7,SVD,3.593813663804626,0.6342857142857142,0.5982905982905983
1,6,7,cbow,0.2782559402207126,0.9188888888888888,0.9402985074626866
1,6,7,skipgram,3.593813663804626,0.8766666666666667,0.900497512437811
1,6,8,SVD,0.2782559402207126,0.5928571428571429,0.5897435897435898
1,6,8,cbow,0.2782559402207126,0.9122222222222224,0.945273631840796
1,6,8,skipgram,46.41588833612782,0.8661111111111112,0.8955223880597015
1,6,9,SVD,3.593813663804626,0.5914285714285714,0.5555555555555556
1,6,9,cbow,0.2782559402207126,0.9116666666666666,0.9402985074626866
1,6,9,skipgram,3.593813663804626,0.8716666666666667,0.8905472636815921
1,6,10,SVD,46.41588833612782,0.5728571428571428,0.5769230769230769
1,6,10,cbow,3.593813663804626,0.9066666666666666,0.9303482587064676
1,6,10,skipgram,46.41588833612782,0.875,0.8905472636815921
1,7,5,SVD,599.4842503189421,0.8105663969538315,0.8034188034188035
1,7,5,cbow,3.593813663804626,0.8983333333333333,0.9203980099502488
1,7,5,skipgram,3.593813663804626,0.8927777777777778,0.9054726368159204
1,7,6,SVD,0.2782559402207126,0.7328571428571429,0.7478632478632479
1,7,6,cbow,0.2782559402207126,0.8966666666666666,0.9303482587064676
1,7,6,skipgram,3.593813663804626,0.8905555555555555,0.9054726368159204
1,7,7,SVD,0.2782559402207126,0.7280952380952381,0.6794871794871795
1,7,7,cbow,0.0215443469003188,0.8855555555555555,0.9303482587064676
1,7,7,skipgram,0.0215443469003188,0.8933333333333333,0.8905472636815921
1,7,8,SVD,0.0215443469003188,0.7271428571428571,0.7521367521367521
1,7,8,cbow,0.2782559402207126,0.88,0.9253731343283582
1,7,8,skipgram,0.0215443469003188,0.8955555555555555,0.9154228855721394
1,7,9,SVD,0.2782559402207126,0.7223809523809523,0.7008547008547008
1,7,9,cbow,0.2782559402207126,0.875,0.9104477611940298
1,7,9,skipgram,0.2782559402207126,0.9011111111111112,0.900497512437811
1,7,10,SVD,0.2782559402207126,0.7271428571428571,0.717948717948718
1,7,10,cbow,0.0215443469003188,0.8727777777777778,0.9054726368159204
1,7,10,skipgram,0.2782559402207126,0.9,0.9054726368159204
1,8,5,SVD,3.593813663804626,0.7785714285714286,0.7606837606837606
1,8,5,cbow,0.2782559402207126,0.9155555555555556,0.9104477611940298
1,8,5,skipgram,599.4842503189421,0.895,0.8955223880597015
1,8,6,SVD,0.2782559402207126,0.76,0.7478632478632479
1,8,6,cbow,3.593813663804626,0.9144444444444444,0.9054726368159204
1,8,6,skipgram,0.2782559402207126,0.8966666666666666,0.8955223880597015
1,8,7,SVD,0.2782559402207126,0.7561904761904762,0.7264957264957265
1,8,7,cbow,3.593813663804626,0.9083333333333332,0.9104477611940298
1,8,7,skipgram,0.0215443469003188,0.89,0.8955223880597015
1,8,8,SVD,0.0215443469003188,0.7519047619047619,0.7136752136752137
1,8,8,cbow,46.41588833612782,0.9038888888888889,0.900497512437811
1,8,8,skipgram,3.593813663804626,0.8994444444444445,0.9104477611940298
1,8,9,SVD,3.593813663804626,0.7438095238095238,0.7393162393162394
1,8,9,cbow,3.593813663804626,0.9077777777777778,0.9104477611940298
1,8,9,skipgram,3.593813663804626,0.8955555555555555,0.9104477611940298
1,8,10,SVD,0.2782559402207126,0.7422582181991424,0.7222222222222222
1,8,10,cbow,0.2782559402207126,0.9027777777777778,0.9154228855721394
1,8,10,skipgram,0.2782559402207126,0.9005555555555556,0.9253731343283582
1,9,5,SVD,3.593813663804626,0.7642857142857142,0.7606837606837606
1,9,5,cbow,0.0215443469003188,0.9244444444444444,0.9303482587064676
1,9,5,skipgram,0.2782559402207126,0.9016666666666666,0.9104477611940298
1,9,6,SVD,0.2782559402207126,0.7638095238095238,0.7435897435897436
1,9,6,cbow,0.2782559402207126,0.9261111111111112,0.9502487562189056
1,9,6,skipgram,0.2782559402207126,0.8938888888888888,0.8955223880597015
1,9,7,SVD,0.0215443469003188,0.7647619047619048,0.7606837606837606
1,9,7,cbow,3.593813663804626,0.9277777777777778,0.9502487562189056
1,9,7,skipgram,0.2782559402207126,0.8927777777777778,0.9104477611940298
1,9,8,SVD,0.0215443469003188,0.7576190476190476,0.7478632478632479
1,9,8,cbow,3.593813663804626,0.9244444444444444,0.945273631840796
1,9,8,skipgram,0.2782559402207126,0.9011111111111112,0.9054726368159204
1,9,9,SVD,0.2782559402207126,0.7503573130061935,0.7307692307692307
1,9,9,cbow,3.593813663804626,0.9261111111111112,0.9402985074626866
1,9,9,skipgram,3.593813663804626,0.9,0.900497512437811
1,9,10,SVD,0.0215443469003188,0.7523854961832062,0.7553648068669528
1,9,10,cbow,3.593813663804626,0.9255555555555556,0.9402985074626866
1,9,10,skipgram,3.593813663804626,0.9027777777777778,0.9154228855721394
1,10,5,SVD,0.2782559402207126,0.8185714285714286,0.8290598290598291
1,10,5,cbow,3.593813663804626,0.9266666666666666,0.9552238805970148
1,10,5,skipgram,599.4842503189421,0.9244444444444444,0.9353233830845772
1,10,6,SVD,3.593813663804626,0.8185714285714286,0.8162393162393162
1,10,6,cbow,0.2782559402207126,0.9194444444444444,0.9552238805970148
1,10,6,skipgram,3.593813663804626,0.9244444444444444,0.9353233830845772
1,10,7,SVD,3.593813663804626,0.8242857142857143,0.8376068376068376
1,10,7,cbow,46.41588833612782,0.9183333333333332,0.945273631840796
1,10,7,skipgram,3.593813663804626,0.9244444444444444,0.9303482587064676
1,10,8,SVD,0.2782559402207126,0.8194378275369223,0.8205128205128205
1,10,8,cbow,46.41588833612782,0.9188888888888888,0.9502487562189056
1,10,8,skipgram,3.593813663804626,0.9222222222222224,0.9502487562189056
1,10,9,SVD,3.593813663804626,0.8234732824427481,0.7982832618025751
1,10,9,cbow,3.593813663804626,0.915,0.9502487562189056
1,10,9,skipgram,46.41588833612782,0.9238888888888888,0.9303482587064676
1,10,10,SVD,46.41588833612782,0.8281622911694511,0.8111587982832618
1,10,10,cbow,3.593813663804626,0.9183333333333332,0.9502487562189056
1,10,10,skipgram,0.2782559402207126,0.9222222222222224,0.9353233830845772
2,2,5,SVD,100000.0,0.8540874524714829,0.8675213675213675
2,2,5,cbow,599.4842503189421,0.8373126041088285,0.845771144278607
2,2,5,skipgram,599.4842503189421,0.9022765130483064,0.9253731343283582
2,2,6,SVD,46.41588833612782,0.7200570342205324,0.7564102564102564
2,2,6,cbow,46.41588833612782,0.8284286507495836,0.8308457711442786
2,2,6,skipgram,46.41588833612782,0.8784008883953359,0.900497512437811
2,2,7,SVD,46.41588833612782,0.6633380884450785,0.7222222222222222
2,2,7,cbow,3.593813663804626,0.8388888888888889,0.845771144278607
2,2,7,skipgram,7742.636826811277,0.8827777777777778,0.8805970149253731
2,2,8,SVD,3.593813663804626,0.6647646219686163,0.6538461538461539
2,2,8,cbow,3.593813663804626,0.8416666666666667,0.835820895522388
2,2,8,skipgram,599.4842503189421,0.8844444444444445,0.8805970149253731
2,2,9,SVD,3.593813663804626,0.6625416468348405,0.6752136752136753
2,2,9,cbow,46.41588833612782,0.8483333333333334,0.8059701492537313
2,2,9,skipgram,7742.636826811277,0.8933333333333333,0.8805970149253731
2,2,10,SVD,3.593813663804626,0.6454069490718706,0.6923076923076923
2,2,10,cbow,46.41588833612782,0.8427777777777777,0.8258706467661692
2,2,10,skipgram,7742.636826811277,0.8922222222222222,0.8855721393034826
2,3,5,SVD,7742.636826811277,0.8488593155893536,0.8589743589743589
2,3,5,cbow,100000.0,0.9367018323153804,0.9601990049751244
2,3,5,skipgram,599.4842503189421,0.9428095502498612,0.9502487562189056
2,3,6,SVD,7742.636826811277,0.8430813124108416,0.8632478632478633
2,3,6,cbow,7742.636826811277,0.94,0.9552238805970148
2,3,6,skipgram,7742.636826811277,0.9461111111111112,0.9601990049751244
2,3,7,SVD,7742.636826811277,0.8506894912030433,0.8675213675213675
2,3,7,cbow,599.4842503189421,0.9405555555555556,0.9552238805970148
2,3,7,skipgram,7742.636826811277,0.9205555555555556,0.9402985074626866
2,3,8,SVD,7742.636826811277,0.8477640342530923,0.8675213675213675
2,3,8,cbow,599.4842503189421,0.9411111111111112,0.9552238805970148
2,3,8,skipgram,3.593813663804626,0.9183333333333332,0.9353233830845772
2,3,9,SVD,7742.636826811277,0.8486435030937649,0.8547008547008547
2,3,9,cbow,7742.636826811277,0.9394444444444444,0.9502487562189056
2,3,9,skipgram,3.593813663804626,0.91,0.9303482587064676
2,3,10,SVD,100000.0,0.8495238095238096,0.8504273504273504
2,3,10,cbow,7742.636826811277,0.9394444444444444,0.9502487562189056
