m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,1000.0,0.7616943866943867,0.7570093457943925
1,2,5,cbow,0.3792690190732249,0.825279293322941,0.8329439252336449
1,2,5,skipgram,1.2742749857031337,0.7336970641725123,0.7126168224299065
1,2,6,SVD,14.38449888287663,0.7387058976695743,0.7540983606557377
1,2,6,cbow,2.3357214690901213,0.8310775637688704,0.8477751756440282
1,2,6,skipgram,1.2742749857031337,0.7513014055179594,0.7412177985948478
1,2,7,SVD,14.38449888287663,0.7382970400312948,0.735052754982415
1,2,7,cbow,1.2742749857031337,0.8298343982266266,0.8475967174677609
1,2,7,skipgram,162.3776739188721,0.7539444516886165,0.7456037514654161
1,2,8,SVD,1.2742749857031337,0.7370278394981048,0.7062279670975323
1,2,8,cbow,48.32930238571752,0.8317866945497321,0.8307873090481787
1,2,8,skipgram,0.6951927961775606,0.7615997908770096,0.7591069330199764
1,2,9,SVD,26.366508987303583,0.7332721070585149,0.7154663518299882
1,2,9,cbow,0.6951927961775606,0.8353882476390346,0.8219339622641509
1,2,9,skipgram,0.6951927961775606,0.7639034627492131,0.7936320754716981
1,2,10,SVD,0.6951927961775606,0.7366746221161495,0.7374701670644391
1,2,10,cbow,0.6951927961775606,0.8338192419825073,0.8462455303933254
1,2,10,skipgram,2.3357214690901213,0.7687516565067586,0.7711561382598331
1,3,5,SVD,1000.0,0.7854172082141929,0.7824561403508772
1,3,5,cbow,0.6951927961775606,0.8430761236684853,0.8516355140186916
1,3,5,skipgram,88.58667904100822,0.7803325539101065,0.7955607476635514
1,3,6,SVD,545.5594781168514,0.7822349570200573,0.7950819672131147
1,3,6,cbow,26.366508987303583,0.8398020317791092,0.8489461358313818
1,3,6,skipgram,48.32930238571752,0.7839281062776765,0.7997658079625293
1,3,7,SVD,1000.0,0.7666927490871153,0.7652582159624414
1,3,7,cbow,0.6951927961775606,0.8455920709441836,0.8368544600938967
1,3,7,skipgram,48.32930238571752,0.7913406364110589,0.7863849765258216
1,3,8,SVD,1000.0,0.771716378859236,0.7517647058823529
1,3,8,cbow,4.281332398719392,0.8482866858488098,0.8388235294117647
1,3,8,skipgram,0.6951927961775606,0.7933560031388962,0.7929411764705883
1,3,9,SVD,297.63514416313194,0.7562705187130663,0.7827626918536009
1,3,9,cbow,14.38449888287663,0.8495668154371226,0.8358913813459268
1,3,9,skipgram,1.2742749857031337,0.7956156471514834,0.7886658795749705
1,3,10,SVD,1000.0,0.7463825309129176,0.7408284023668639
1,3,10,cbow,14.38449888287663,0.8500789058390321,0.8544378698224852
1,3,10,skipgram,2.3357214690901213,0.7958968963703315,0.7917159763313609
1,4,5,SVD,297.63514416313194,0.8204294079375407,0.819672131147541
1,4,5,cbow,297.63514416313194,0.8333333333333334,0.8348946135831382
1,4,5,skipgram,14.38449888287663,0.7660681759042415,0.7681498829039812
1,4,6,SVD,162.3776739188721,0.811888932342589,0.8417350527549824
1,4,6,cbow,545.5594781168514,0.8440881241037674,0.8382180539273154
1,4,6,skipgram,14.38449888287663,0.7816451570851258,0.7831184056271981
1,4,7,SVD,1000.0,0.8006535947712419,0.799059929494712
1,4,7,cbow,297.63514416313194,0.8502352326189232,0.836662749706228
1,4,7,skipgram,88.58667904100822,0.7946941975953999,0.7732079905992949
1,4,8,SVD,162.3776739188721,0.7931124787220113,0.7962308598351001
1,4,8,cbow,48.32930238571752,0.8540575916230366,0.8244994110718492
1,4,8,skipgram,0.6951927961775606,0.8011780104712042,0.7773851590106007
1,4,9,SVD,162.3776739188721,0.7864460204885737,0.7966903073286052
1,4,9,cbow,297.63514416313194,0.8600131319763624,0.859504132231405
1,4,9,skipgram,2.3357214690901213,0.8028890347997374,0.8004722550177096
