m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,0.0215443469003188,0.639911929543635,0.6546762589928058
1,2,5,cbow,0.001,0.7953181272509003,0.814748201438849
1,2,5,skipgram,0.0046415888336127,0.7228891556622649,0.7356115107913669
1,2,6,SVD,0.001,0.6354145753864686,0.648014440433213
1,2,6,cbow,0.001,0.8017656500802568,0.7942238267148014
1,2,6,skipgram,0.0046415888336127,0.7419743178170144,0.7527075812274369
1,2,7,SVD,0.001,0.6226604950694304,0.6292947558770343
1,2,7,cbow,0.001,0.8021734755484001,0.8047016274864376
1,2,7,skipgram,0.0046415888336127,0.7705775810022137,0.7576853526220615
1,2,8,SVD,0.001,0.6227024843465967,0.6460980036297641
1,2,8,cbow,0.001,0.8069076954150677,0.7876588021778584
1,2,8,skipgram,0.0046415888336127,0.7812563118561907,0.778584392014519
1,2,9,SVD,46.41588833612773,0.619057293783015,0.6508226691042047
1,2,9,cbow,0.001,0.8082859463850528,0.7901459854014599
1,2,9,skipgram,0.0215443469003188,0.7370024370430545,0.7518248175182481
1,2,10,SVD,2.154434690031882,0.6284593143329202,0.6654275092936803
1,2,10,cbow,0.001,0.8082955014444902,0.8274582560296846
1,2,10,skipgram,0.0215443469003188,0.7486586875773834,0.7421150278293135
1,3,5,SVD,10.0,0.6832198638366039,0.7189189189189189
1,3,5,cbow,0.0215443469003188,0.7879151660664265,0.7715827338129496
1,3,5,skipgram,0.001,0.7490996398559424,0.7517985611510791
1,3,6,SVD,0.0046415888336127,0.665930092406589,0.6678700361010831
1,3,6,cbow,0.001,0.792888710325432,0.7870036101083032
1,3,6,skipgram,0.001,0.7665729208517477,0.7725631768953068
1,3,7,SVD,0.0215443469003188,0.6509661835748792,0.6394927536231884
1,3,7,cbow,0.001,0.7914653784219001,0.8134057971014492
1,3,7,skipgram,0.0046415888336127,0.7260466988727858,0.7771739130434783
1,3,8,SVD,0.001,0.6460355987055016,0.6636363636363637
1,3,8,cbow,0.001,0.7978164173069147,0.7945454545454546
1,3,8,skipgram,0.0046415888336127,0.7403962798220785,0.74
1,3,9,SVD,0.001,0.6392675483214649,0.6215722120658135
1,3,9,cbow,0.001,0.802358682391216,0.8117001828153565
1,3,9,skipgram,0.0046415888336127,0.74705164701098,0.7495429616087751
1,3,10,SVD,0.001,0.6342309261525908,0.5889908256880734
1,3,10,cbow,0.001,0.8091353996737357,0.7889908256880734
1,3,10,skipgram,0.0046415888336127,0.767536704730832,0.7559633027522936
1,4,5,SVD,2.154434690031882,0.7259779338014042,0.7454873646209387
1,4,5,cbow,0.4641588833612777,0.7811873245086242,0.7581227436823105
1,4,5,skipgram,0.001,0.7200160449257922,0.7256317689530686
1,4,6,SVD,0.4641588833612777,0.7266143633071817,0.7070524412296564
1,4,6,cbow,0.001,0.784148058740696,0.8047016274864376
1,4,6,skipgram,0.001,0.7410983705491853,0.7540687160940326
1,4,7,SVD,2.154434690031882,0.6965656565656566,0.7277676950998185
1,4,7,cbow,0.001,0.7913974151857835,0.7676950998185118
1,4,7,skipgram,0.001,0.7740306946688207,0.7295825771324864
1,4,8,SVD,2.154434690031882,0.6846262912700021,0.7213114754098361
1,4,8,cbow,0.001,0.7955465587044535,0.8014571948998178
1,4,8,skipgram,0.001,0.7653846153846153,0.7304189435336976
1,4,9,SVD,0.4641588833612777,0.6752136752136753,0.6831501831501832
1,4,9,cbow,10.0,0.7997965412004069,0.8153564899451554
1,4,9,skipgram,0.0046415888336127,0.7361139369277722,0.7294332723948812
1,4,10,SVD,0.1,0.6609477124183006,0.6544117647058824
1,4,10,cbow,0.001,0.8020833333333334,0.7981651376146789
1,4,10,skipgram,0.0046415888336127,0.741421568627451,0.7174311926605504
1,5,5,SVD,0.1,0.7291917973462002,0.7432188065099458
1,5,5,cbow,0.0046415888336127,0.7776884422110553,0.810126582278481
1,5,5,skipgram,0.001,0.7037185929648241,0.7703435804701627
1,5,6,SVD,0.0046415888336127,0.7071890145395799,0.7277676950998185
1,5,6,cbow,0.001,0.7876463463867581,0.79491833030853
1,5,6,skipgram,0.001,0.720024222850222,0.7005444646098004
1,5,7,SVD,2.154434690031882,0.6958105646630237,0.7285974499089253
1,5,7,cbow,0.001,0.7845437993121586,0.7963636363636364
1,5,7,skipgram,0.001,0.7289095690875986,0.7472727272727273
1,5,8,SVD,0.4641588833612777,0.6987829614604463,0.6897810218978102
1,5,8,cbow,0.001,0.7881184103811841,0.7937956204379562
1,5,8,skipgram,0.001,0.7382400648824007,0.7572992700729927
1,5,9,SVD,0.0046415888336127,0.6958205912334353,0.6972477064220184
1,5,9,cbow,0.001,0.7942915392456676,0.7728937728937729
1,5,9,skipgram,0.001,0.7469928644240571,0.7344322344322345
1,5,10,SVD,0.0046415888336127,0.6921817437576749,0.6906077348066298
1,5,10,cbow,0.001,0.7943523634131369,0.7775735294117647
1,5,10,skipgram,0.001,0.75158583998363,0.7573529411764706
1,6,5,SVD,2.154434690031882,0.7128153380423814,0.6987295825771325
1,6,5,cbow,0.001,0.781766841468334,0.8003629764065335
1,6,5,skipgram,0.001,0.7077450584913272,0.7005444646098004
1,6,6,SVD,0.1,0.7114528530959126,0.7036363636363636
1,6,6,cbow,0.001,0.7824064711830131,0.8072727272727273
1,6,6,skipgram,0.0215443469003188,0.7037411526794742,0.7272727272727273
1,6,7,SVD,2.154434690031882,0.7015409570154095,0.7194899817850637
1,6,7,cbow,0.001,0.781921361978111,0.7996357012750456
1,6,7,skipgram,0.001,0.708755573571139,0.7449908925318761
1,6,8,SVD,0.0215443469003188,0.7035155456208088,0.6471663619744058
1,6,8,cbow,0.001,0.7785453067858594,0.8117001828153565
1,6,8,skipgram,0.001,0.7104835432750914,0.7659963436928702
1,6,9,SVD,0.4641588833612777,0.6912545974662853,0.6764705882352942
1,6,9,cbow,0.0046415888336127,0.7796160130718954,0.8088235294117647
1,6,9,skipgram,0.001,0.7209967320261438,0.7389705882352942
1,6,10,SVD,0.4641588833612777,0.6864354607018264,0.6605166051660517
1,6,10,cbow,0.0046415888336127,0.7883511074651354,0.7546125461254612
1,6,10,skipgram,0.001,0.7319524200164069,0.7103321033210332
1,7,5,SVD,0.4641588833612777,0.7241658240647119,0.7072727272727273
1,7,5,cbow,0.001,0.7922812689432208,0.7490909090909091
1,7,5,skipgram,0.001,0.7019599919175591,0.6890909090909091
1,7,6,SVD,0.1,0.7138224564248075,0.7231329690346083
1,7,6,cbow,0.001,0.7935575364667747,0.7996357012750456
1,7,6,skipgram,0.001,0.7072528363047001,0.6994535519125683
1,7,7,SVD,2.154434690031882,0.7005890717042453,0.698905109489051
1,7,7,cbow,0.0215443469003188,0.7879772542648253,0.8047445255474452
1,7,7,skipgram,0.001,0.7073517465475223,0.7062043795620438
1,7,8,SVD,10.0,0.6899572214300265,0.6996336996336996
