m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,1000.0,0.971476199296166,0.9766666666666668
1,2,5,cbow,0.1,0.9401741063159844,0.9483333333333334
1,2,5,skipgram,0.1,0.9064641600296351,0.9
1,2,6,SVD,46.41588833612773,0.9696127478228646,0.965
1,2,6,cbow,0.4641588833612777,0.9460811561978876,0.9316666666666666
1,2,6,skipgram,0.4641588833612777,0.9118028534370948,0.9266666666666666
1,2,7,SVD,46.41588833612773,0.9744255003706448,0.9816666666666668
1,2,7,cbow,0.4641588833612777,0.9375463306152706,0.935
1,2,7,skipgram,2.154434690031882,0.90826538176427,0.9083333333333332
1,2,8,SVD,215.44346900318823,0.9799851742031134,0.985
1,2,8,cbow,0.1,0.9392142327650111,0.945
1,2,8,skipgram,0.4641588833612777,0.9151223128243144,0.9183333333333332
1,2,9,SVD,46.41588833612773,0.9816394658753708,0.9783333333333334
1,2,9,cbow,0.0215443469003188,0.9386241424068236,0.9483333333333334
1,2,9,skipgram,2.154434690031882,0.921194140552568,0.925
1,2,10,SVD,2.154434690031882,0.9795956223335188,0.9766666666666668
1,2,10,cbow,0.1,0.9384158783157114,0.915
1,2,10,skipgram,46.41588833612773,0.932665553700612,0.9333333333333332
1,3,5,SVD,1000.0,0.9764727676917376,0.9816666666666668
1,3,5,cbow,10.0,0.9827713968136348,0.99
1,3,5,skipgram,10.0,0.947017413856984,0.9433333333333334
1,3,6,SVD,1000.0,0.9885100074128984,0.995
1,3,6,cbow,10.0,0.9788732394366196,0.975
1,3,6,skipgram,2.154434690031882,0.946256486286138,0.9333333333333332
1,3,7,SVD,1000.0,0.98702742772424,0.9866666666666668
1,3,7,cbow,46.41588833612773,0.9729429206819866,0.9666666666666668
1,3,7,skipgram,215.44346900318823,0.9505189028910304,0.9316666666666666
1,3,8,SVD,46.41588833612773,0.9892433234421364,0.9833333333333332
1,3,8,cbow,215.44346900318823,0.9771926571481552,0.9666666666666668
1,3,8,skipgram,46.41588833612773,0.9562395698127202,0.94
1,3,9,SVD,1000.0,0.988684845112224,0.9816666666666668
1,3,9,cbow,46.41588833612773,0.9768132071971805,0.9733333333333334
1,3,9,skipgram,1000.0,0.9556668521610092,0.95
1,3,10,SVD,215.44346900318823,0.9855260716273893,0.98330550918197
