m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,svd,1000.0,0.7424351585014409,0.7055016181229773
1,2,5,skipgram,1000.0,0.7309077809798271,0.7152103559870551
1,2,5,cbow,2.3357214690901213,0.8220461095100865,0.8058252427184466
1,2,6,svd,1000.0,0.7586455331412104,0.7637540453074434
1,2,6,skipgram,297.63514416313194,0.7092939481268011,0.7734627831715211
1,2,6,cbow,14.38449888287663,0.805835734870317,0.8220064724919094
1,2,7,svd,1000.0,0.8112391930835735,0.7831715210355987
1,2,7,skipgram,26.366508987303583,0.7197406340057637,0.7184466019417476
1,2,7,cbow,14.38449888287663,0.8108789625360231,0.8155339805825242
1,2,8,svd,1000.0,0.7496397694524496,0.7637540453074434
1,2,8,skipgram,88.58667904100822,0.718299711815562,0.7184466019417476
1,2,8,cbow,297.63514416313194,0.8141210374639769,0.7993527508090615
1,2,9,svd,545.5594781168514,0.7388328530259366,0.7766990291262136
1,2,9,skipgram,297.63514416313194,0.7197406340057637,0.7119741100323624
1,2,9,cbow,48.32930238571752,0.8087175792507204,0.7896440129449838
1,2,10,svd,1000.0,0.7312680115273775,0.7184466019417476
1,2,10,skipgram,1000.0,0.7132564841498559,0.7249190938511327
1,2,10,cbow,7.847599703514606,0.7935878962536023,0.7734627831715211
1,3,5,svd,26.366508987303583,0.8544668587896254,0.889967637540453
1,3,5,skipgram,1000.0,0.840778097982709,0.8284789644012945
1,3,5,cbow,1.2742749857031335,0.8551873198847262,0.8446601941747572
1,3,6,svd,48.32930238571752,0.8314121037463977,0.8446601941747572
1,3,6,skipgram,1000.0,0.8245677233429395,0.8349514563106796
1,3,6,cbow,2.3357214690901213,0.8577089337175793,0.8576051779935275
1,3,7,svd,88.58667904100822,0.8087175792507204,0.8252427184466019
1,3,7,skipgram,1000.0,0.8177233429394812,0.8284789644012945
1,3,7,cbow,1.2742749857031335,0.8519452449567724,0.8478964401294499
1,3,8,svd,297.63514416313194,0.8159221902017291,0.8446601941747572
1,3,8,skipgram,1000.0,0.803314121037464,0.8155339805825242
1,3,8,cbow,4.281332398719392,0.8515850144092219,0.8381877022653722
1,3,9,svd,545.5594781168514,0.8159221902017291,0.8025889967637541
1,3,9,skipgram,1000.0,0.8047550432276657,0.7961165048543689
1,3,9,cbow,48.32930238571752,0.8548270893371758,0.8478964401294499
1,3,10,svd,545.5594781168514,0.8036743515850144,0.8090614886731392
1,3,10,skipgram,1000.0,0.7921469740634006,0.7961165048543689
1,3,10,cbow,2.3357214690901213,0.8577089337175793,0.8478964401294499
1,4,5,svd,2.3357214690901213,0.8447406340057637,0.8414239482200647
1,4,5,skipgram,1000.0,0.8501440922190202,0.8511326860841424
1,4,5,cbow,0.6951927961775606,0.8573487031700289,0.8576051779935275
1,4,6,svd,2.3357214690901213,0.8469020172910663,0.8284789644012945
1,4,6,skipgram,297.63514416313194,0.8497838616714697,0.8640776699029126
1,4,6,cbow,1.2742749857031335,0.8674351585014409,0.8511326860841424
1,4,7,svd,2.3357214690901213,0.848342939481268,0.8220064724919094
1,4,7,skipgram,1000.0,0.848342939481268,0.8543689320388349
1,4,7,cbow,0.37926901907322497,0.8688760806916427,0.8478964401294499
1,4,8,svd,48.32930238571752,0.8368155619596542,0.8025889967637541
1,4,8,skipgram,545.5594781168514,0.843299711815562,0.8220064724919094
1,4,8,cbow,14.38449888287663,0.8674351585014409,0.8543689320388349
