m,n,k,emb_type,best_C,train_acc,test_acc
1,1,2,SVD,0.0215443469003188,0.7495881383855024,0.7185185185185186
1,1,2,skipgram,1e-05,0.9017660044150112,0.8811881188118812
1,1,2,cbow,1e-05,0.8995584988962473,0.900990099009901
1,1,3,SVD,1e-05,0.743993371996686,0.7481481481481481
1,1,3,skipgram,1e-05,0.9017660044150112,0.8811881188118812
1,1,3,cbow,1e-05,0.8995584988962473,0.900990099009901
1,1,4,SVD,1e-05,0.7379767827529021,0.8059701492537313
1,1,4,skipgram,1e-05,0.901657458563536,0.8811881188118812
1,1,4,cbow,1e-05,0.8994475138121547,0.900990099009901
1,1,5,SVD,1e-05,0.7377593360995851,0.8059701492537313
1,1,5,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,1,5,cbow,1e-05,0.8993362831858407,0.900990099009901
1,1,6,SVD,1e-05,0.7408637873754153,0.7835820895522388
1,1,6,skipgram,599.4842503189421,0.9048672566371682,0.8910891089108911
1,1,6,cbow,1e-05,0.8993362831858407,0.900990099009901
1,1,7,SVD,1e-05,0.7408637873754153,0.7835820895522388
1,1,7,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,1,7,cbow,1e-05,0.8993362831858407,0.900990099009901
1,1,8,SVD,1e-05,0.7408637873754153,0.7835820895522388
1,1,8,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,1,8,cbow,1e-05,0.8993362831858407,0.900990099009901
1,1,9,SVD,1e-05,0.7445923460898503,0.753731343283582
1,1,9,skipgram,3.593813663804626,0.901439645625692,0.8811881188118812
1,1,9,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,10,SVD,599.4842503189421,0.7562396006655574,0.7238805970149254
1,1,10,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,10,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,11,SVD,1e-05,0.7443796835970025,0.7611940298507462
1,1,11,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,11,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,12,SVD,0.2782559402207126,0.7502081598667777,0.7313432835820896
1,1,12,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,12,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,13,SVD,0.0215443469003188,0.7581317764804003,0.7611940298507462
1,1,13,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,13,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,14,SVD,0.2782559402207126,0.7512520868113522,0.7910447761194029
1,1,14,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,14,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,15,SVD,46.41588833612782,0.7627401837928154,0.7819548872180451
1,1,15,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,1,15,cbow,1e-05,0.8992248062015504,0.900990099009901
1,1,16,SVD,3.593813663804626,0.7581589958158996,0.7744360902255639
1,1,16,skipgram,1e-05,0.904550499445061,0.8613861386138614
1,1,16,cbow,1e-05,0.9001109877913429,0.900990099009901
1,1,17,SVD,3.593813663804626,0.7659395973154363,0.8120300751879699
1,1,17,skipgram,1e-05,0.9033333333333332,0.8811881188118812
1,1,17,cbow,1e-05,0.9044444444444444,0.8712871287128713
1,1,18,SVD,0.2782559402207126,0.7600671140939598,0.7744360902255639
1,1,18,skipgram,1e-05,0.9033333333333332,0.8811881188118812
1,1,18,cbow,1e-05,0.9044444444444444,0.8712871287128713
1,1,19,SVD,0.0215443469003188,0.7676174496644296,0.7744360902255639
1,1,19,skipgram,3.593813663804626,0.9031180400890868,0.9
1,1,19,cbow,1e-05,0.900890868596882,0.9
1,1,20,SVD,1e-05,0.7527333894028595,0.7142857142857143
1,1,20,skipgram,3.593813663804626,0.9018952062430324,0.91
1,1,20,cbow,1e-05,0.9018952062430324,0.9
1,2,2,SVD,1e-05,0.743993371996686,0.7481481481481481
1,2,2,skipgram,1e-05,0.9017660044150112,0.8811881188118812
1,2,2,cbow,1e-05,0.8995584988962473,0.900990099009901
1,2,3,SVD,1e-05,0.7377593360995851,0.8059701492537313
1,2,3,skipgram,1e-05,0.901657458563536,0.8811881188118812
1,2,3,cbow,1e-05,0.8994475138121547,0.900990099009901
1,2,4,SVD,1e-05,0.7377593360995851,0.8059701492537313
1,2,4,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,2,4,cbow,1e-05,0.8993362831858407,0.900990099009901
1,2,5,SVD,0.2782559402207126,0.743973399833749,0.7611940298507462
1,2,5,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,2,5,cbow,1e-05,0.8993362831858407,0.900990099009901
1,2,6,SVD,1e-05,0.7410491257285595,0.7910447761194029
1,2,6,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,2,6,cbow,1e-05,0.8993362831858407,0.900990099009901
1,2,7,SVD,1e-05,0.7408333333333333,0.7910447761194029
1,2,7,skipgram,1e-05,0.9015486725663716,0.8811881188118812
1,2,7,cbow,1e-05,0.8992248062015504,0.900990099009901
1,2,8,SVD,0.0215443469003188,0.7485380116959064,0.7593984962406015
1,2,8,skipgram,3.593813663804626,0.902547065337763,0.8811881188118812
1,2,8,cbow,1e-05,0.8992248062015504,0.900990099009901
1,2,9,SVD,0.0215443469003188,0.7468671679197995,0.7593984962406015
1,2,9,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,2,9,cbow,1e-05,0.8992248062015504,0.900990099009901
1,2,10,SVD,0.0016681005372,0.746031746031746,0.7593984962406015
1,2,10,skipgram,1e-05,0.901439645625692,0.8811881188118812
1,2,10,cbow,1e-05,0.8992248062015504,0.900990099009901
