m,n,k,emb_type,best_C,train_acc,test_acc
1,1,2,SVD,7742.636826811277,0.9460688758934372,0.953216374269006
1,1,2,skipgram,599.4842503189421,0.7567380787836904,0.7888198757763976
1,1,2,cbow,100000.0,0.8093415007656968,0.7876712328767124
1,1,3,SVD,3.593813663804626,0.9012345679012346,0.9005847953216374
1,1,3,skipgram,3.593813663804626,0.8106427090532136,0.8385093167701864
1,1,3,cbow,46.41588833612782,0.7396630934150077,0.6917808219178082
1,1,4,SVD,0.2782559402207126,0.8276983094928478,0.8421052631578947
1,1,4,skipgram,7742.636826811277,0.8105117565698479,0.8198757763975155
1,1,4,cbow,100000.0,0.7011494252873564,0.6986301369863014
1,1,5,SVD,0.2782559402207126,0.8022121014964216,0.8011695906432749
1,1,5,skipgram,7742.636826811277,0.8083044982698961,0.8074534161490683
1,1,5,cbow,7742.636826811277,0.7379310344827587,0.6896551724137931
1,1,6,SVD,100000.0,0.7937540663630449,0.7134502923976608
1,1,6,skipgram,599.4842503189421,0.8449826989619377,0.8571428571428571
1,1,6,cbow,100000.0,0.7770114942528735,0.7655172413793103
1,1,7,SVD,0.0215443469003188,0.8041639557579701,0.7543859649122807
1,1,7,skipgram,7742.636826811277,0.8650519031141869,0.8260869565217391
1,1,7,cbow,7742.636826811277,0.7777777777777778,0.7379310344827587
1,1,8,SVD,0.0215443469003188,0.8210800260247235,0.783625730994152
1,1,8,skipgram,100000.0,0.8823529411764706,0.8385093167701864
1,1,8,cbow,7742.636826811277,0.8068965517241379,0.8
1,1,9,SVD,0.0215443469003188,0.8372395833333334,0.8187134502923976
1,1,9,skipgram,100000.0,0.889196675900277,0.84472049689441
1,1,9,cbow,7742.636826811277,0.8121165644171779,0.8689655172413793
1,1,10,SVD,0.0215443469003188,0.8567708333333334,0.8304093567251462
1,1,10,skipgram,599.4842503189421,0.8871191135734072,0.8509316770186336
1,1,10,cbow,599.4842503189421,0.8236196319018405,0.8206896551724138
1,1,11,SVD,46.41588833612782,0.8860677083333334,0.8245614035087719
1,1,11,skipgram,46.41588833612782,0.8926592797783933,0.8881987577639752
1,1,11,cbow,0.2782559402207126,0.8366564417177914,0.8068965517241379
1,1,12,SVD,46.41588833612782,0.9108072916666666,0.8654970760233918
1,1,12,skipgram,599.4842503189421,0.881578947368421,0.8881987577639752
1,1,12,cbow,599.4842503189421,0.8588957055214724,0.8620689655172413
1,1,13,SVD,599.4842503189421,0.9342447916666666,0.912280701754386
1,1,13,skipgram,100000.0,0.8871191135734072,0.8757763975155279
1,1,13,cbow,46.41588833612782,0.8773006134969326,0.8620689655172413
1,1,14,SVD,7742.636826811277,0.9563802083333334,0.9239766081871345
1,1,14,skipgram,100000.0,0.8947368421052632,0.8881987577639752
1,1,14,cbow,3.593813663804626,0.8918711656441718,0.8758620689655172
