m,n,k,emb_type,best_C,train_acc,test_acc
1,1,2,SVD,0.01,0.7745645188567563,0.7917933130699089
1,1,2,skipgram,297.63514416313194,0.6708361891706648,0.6764252696456087
1,1,2,cbow,0.2069138081114789,0.7593755302901748,0.7587786259541984
1,1,3,SVD,0.1128837891684688,0.7577913279132791,0.7640791476407914
1,1,3,skipgram,0.0335981828628378,0.6636348035009438,0.6450617283950617
1,1,3,cbow,0.0183298071083243,0.7357239972807614,0.7415902140672783
1,1,4,SVD,0.2069138081114789,0.7779284624512629,0.7576219512195121
1,1,4,skipgram,1000.0,0.6840116778292976,0.6738794435857806
1,1,4,cbow,0.01,0.7482565062085389,0.7110091743119266
1,1,5,SVD,0.0335981828628378,0.7769283044512403,0.7660550458715596
1,1,5,skipgram,1000.0,0.6829058357720779,0.6656346749226006
1,1,5,cbow,0.01,0.7212751449028298,0.6840490797546013
1,1,6,SVD,0.0183298071083243,0.7778159931212382,0.7712519319938176
1,1,6,skipgram,1000.0,0.6740418118466899,0.6739811912225705
1,1,6,cbow,0.01,0.7108350586611456,0.7550387596899225
1,1,7,SVD,0.0615848211066026,0.7809638970461219,0.782608695652174
1,1,7,skipgram,1000.0,0.6903553299492385,0.7070866141732284
1,1,7,cbow,1000.0,0.7226555728895823,0.7227414330218068
1,1,8,SVD,88.58667904100822,0.7748390464590221,0.758998435054773
1,1,8,skipgram,1000.0,0.7416284807895664,0.705229793977813
1,1,8,cbow,0.01,0.7279706857441982,0.7362637362637363
1,1,9,SVD,297.63514416313194,0.7621555204493593,0.7760252365930599
1,1,9,skipgram,1000.0,0.7353829749422428,0.7332268370607029
1,1,9,cbow,48.32930238571752,0.7361013370865588,0.7357594936708861
1,1,10,SVD,88.58667904100822,0.7499117543240381,0.7301587301587301
1,1,10,skipgram,1000.0,0.7416815742397138,0.7636655948553055
1,1,10,cbow,545.5594781168514,0.7368514255356826,0.7404458598726115
1,1,11,SVD,0.0615848211066026,0.7920756737462074,0.7640449438202247
1,1,11,skipgram,1000.0,0.7398843930635838,0.7597402597402597
1,1,11,cbow,1000.0,0.7389594135526552,0.7379421221864951
1,1,12,SVD,0.0615848211066026,0.7614231533321293,0.7288961038961039
1,1,12,skipgram,1000.0,0.7175544572579169,0.7248764415156508
1,1,12,cbow,545.5594781168514,0.7423446276499366,0.741042345276873
1,1,13,SVD,162.3776739188721,0.747312807433048,0.7491803278688525
1,1,13,skipgram,1000.0,0.7076638965835642,0.6910299003322259
1,1,13,cbow,545.5594781168514,0.7426900584795322,0.7598684210526315
1,1,14,SVD,48.32930238571752,0.7676264304171281,0.7691029900332226
1,1,14,skipgram,1000.0,0.7072257581430176,0.6919191919191919
1,1,14,cbow,545.5594781168514,0.7410631598444156,0.7583333333333333
1,1,15,SVD,4.281332398719392,0.7887455599177416,0.7563025210084033
1,1,15,skipgram,1000.0,0.6915054986727341,0.6712095400340715
1,1,15,cbow,1000.0,0.733445882573626,0.7352445193929174
1,1,16,SVD,4.281332398719392,0.7996204933586337,0.7798634812286689
1,1,16,skipgram,545.5594781168514,0.7009040200038469,0.7093425605536332
1,1,16,cbow,1000.0,0.7323059360730594,0.714041095890411
1,1,17,SVD,4.281332398719392,0.8066128412149174,0.7910189982728842
1,1,17,skipgram,545.5594781168514,0.6875243664717349,0.656140350877193
1,1,17,cbow,1000.0,0.6891631315079059,0.6984402079722704
1,1,18,SVD,545.5594781168514,0.7971099394649482,0.8245614035087719
1,1,18,skipgram,545.5594781168514,0.6781472684085511,0.6530249110320284
1,1,18,cbow,545.5594781168514,0.6962223527109024,0.6813380281690141
1,1,19,SVD,4.281332398719392,0.8020294468762436,0.8246869409660107
1,1,19,skipgram,1000.0,0.6650534381931841,0.6467391304347826
1,1,19,cbow,1000.0,0.7017543859649122,0.6935483870967742
1,1,20,SVD,297.63514416313194,0.7987434130522902,0.8160291438979964
1,1,20,skipgram,1000.0,0.6705035971223021,0.6561922365988909
1,1,20,cbow,1000.0,0.7084518488419341,0.7239488117001828
1,2,2,SVD,0.0335981828628378,0.8336998815767214,0.8112633181126332
1,2,2,skipgram,297.63514416313194,0.7342705297445569,0.7041602465331279
1,2,2,cbow,545.5594781168514,0.7162759089364594,0.7206106870229008
1,2,3,SVD,2.3357214690901213,0.8191831892899508,0.801829268292683
1,2,3,skipgram,0.01,0.7025913849322121,0.6743827160493827
1,2,3,cbow,297.63514416313194,0.760707002039429,0.7507645259938838
1,2,4,SVD,0.0615848211066026,0.8266847733831268,0.8137404580152672
1,2,4,skipgram,297.63514416313194,0.6829728801922417,0.6728395061728395
1,2,4,cbow,1000.0,0.708843537414966,0.7003058103975535
1,2,5,SVD,0.1128837891684688,0.8312553373185312,0.8095238095238095
1,2,5,skipgram,26.366508987303583,0.7085194091377534,0.6568778979907264
1,2,5,cbow,1000.0,0.7110013623978202,0.7228177641653905
1,2,6,SVD,48.32930238571752,0.8342503438789546,0.8191653786707882
1,2,6,skipgram,545.5594781168514,0.7220502235982112,0.7306501547987616
1,2,6,cbow,26.366508987303583,0.7098480969448712,0.7193251533742331
1,2,7,SVD,2.3357214690901213,0.8306240167802832,0.8254716981132075
1,2,7,skipgram,545.5594781168514,0.7270689655172414,0.7209302325581395
1,2,7,cbow,1000.0,0.7055802807257788,0.7338461538461538
1,2,8,SVD,26.366508987303583,0.8307475317348378,0.8288431061806656
1,2,8,skipgram,0.01,0.7328601108033241,0.7118380062305296
1,2,8,cbow,545.5594781168514,0.7158385093167702,0.7251552795031055
1,2,9,SVD,88.58667904100822,0.8305659703624353,0.8314606741573034
1,2,9,skipgram,1000.0,0.7375369115858954,0.721875
1,2,9,cbow,162.3776739188721,0.7257811136323966,0.7409733124018838
1,2,10,SVD,7.847599703514606,0.8310957910014514,0.8287112561174551
1,2,10,skipgram,1000.0,0.7440549586048969,0.7432646592709984
1,2,10,cbow,48.32930238571752,0.7506142506142506,0.750788643533123
1,2,11,SVD,1.2742749857031337,0.8349353049907579,0.8604651162790697
1,2,11,skipgram,162.3776739188721,0.7411077685365423,0.7197452229299363
1,2,11,cbow,545.5594781168514,0.7726226314857446,0.7563694267515924
1,2,12,SVD,1000.0,0.8349605707848291,0.8344594594594594
1,2,12,skipgram,1000.0,0.740128068303095,0.7376
1,2,12,cbow,1000.0,0.7784911717495987,0.7479935794542536
1,2,13,SVD,14.38449888287663,0.8331740875214981,0.8247422680412371
1,2,13,skipgram,88.58667904100822,0.7418720971775634,0.6913183279742765
1,2,13,cbow,48.32930238571752,0.7884199134199135,0.7957860615883307
1,2,14,SVD,545.5594781168514,0.8399532710280374,0.8388791593695272
1,2,14,skipgram,88.58667904100822,0.7366816143497757,0.7209677419354839
1,2,14,cbow,297.63514416313194,0.7928649435748089,0.8003273322422259
1,2,15,SVD,297.63514416313194,0.8375796178343949,0.8264758497316637
1,2,15,skipgram,1000.0,0.7301013024602026,0.7284552845528456
1,2,15,cbow,545.5594781168514,0.8067320140558535,0.8136439267886856
1,2,16,SVD,4.281332398719392,0.841015228426396,0.8193430656934306
1,2,16,skipgram,297.63514416313194,0.723792160437557,0.7360655737704918
1,2,16,cbow,545.5594781168514,0.8110840666541846,0.8131313131313131
1,2,17,SVD,48.32930238571752,0.8371611835298987,0.819366852886406
1,2,17,skipgram,545.5594781168514,0.7278073883477302,0.7107438016528925
1,2,17,cbow,88.58667904100822,0.8106878908470722,0.8143100511073254
1,2,18,SVD,1.2742749857031337,0.8366914103923648,0.8530534351145038
1,2,18,skipgram,545.5594781168514,0.719568853372979,0.7207357859531772
1,2,18,cbow,1000.0,0.8132228218966847,0.8180242634315424
1,2,19,SVD,88.58667904100822,0.8458197611292074,0.828125
1,2,19,skipgram,1000.0,0.719172932330827,0.6942567567567568
1,2,19,cbow,1000.0,0.8104023552502453,0.8253968253968254
1,2,20,SVD,48.32930238571752,0.8462391834923453,0.8303393213572854
1,2,20,skipgram,1000.0,0.7159134067603494,0.7252559726962458
1,2,20,cbow,1000.0,0.823541167066347,0.8150807899461401
2,1,2,SVD,0.01,0.791476407914764,0.7978723404255319
2,1,2,skipgram,1.2742749857031337,0.7335503769705277,0.7318952234206472
2,1,2,cbow,162.3776739188721,0.7736297301883591,0.7801526717557252
2,1,3,SVD,0.0335981828628378,0.7625338753387534,0.756468797564688
2,1,3,skipgram,0.1128837891684688,0.732967221554831,0.7314814814814815
2,1,3,cbow,4.281332398719392,0.7185588035350102,0.7201834862385321
2,1,4,SVD,0.6951927961775606,0.7496185794202407,0.75
2,1,4,skipgram,297.63514416313194,0.735874978533402,0.7078825347758887
2,1,4,cbow,7.847599703514606,0.7082837217213812,0.6957186544342507
2,1,5,SVD,0.0615848211066026,0.7529731566428814,0.7431192660550459
2,1,5,skipgram,162.3776739188721,0.7070063694267515,0.695046439628483
2,1,5,cbow,7.847599703514606,0.7105352881009206,0.6993865030674846
2,1,6,SVD,1000.0,0.7435941530524506,0.7527047913446677
2,1,6,skipgram,2.3357214690901213,0.6862369337979094,0.6489028213166145
2,1,6,cbow,14.38449888287663,0.7196342305037957,0.7426356589147287
2,1,7,SVD,48.32930238571752,0.7626533079979271,0.7670807453416149
2,1,7,skipgram,14.38449888287663,0.6793278487659723,0.7118110236220473
2,1,7,cbow,0.1128837891684688,0.720055468885422,0.7087227414330218
2,1,8,SVD,0.0183298071083243,0.7856272838002436,0.7777777777777778
2,1,8,skipgram,0.0183298071083243,0.6901656679591117,0.6418383518225039
2,1,8,cbow,0.0335981828628378,0.7000523468853603,0.6718995290423861
2,1,9,SVD,0.0615848211066026,0.7668948569422503,0.7791798107255521
2,1,9,skipgram,0.01,0.6937977607961614,0.6645367412140575
2,1,9,cbow,88.58667904100822,0.7017945109078114,0.7072784810126582
2,1,10,SVD,0.2069138081114789,0.7650900105894811,0.7523809523809524
2,1,10,skipgram,0.01,0.6937388193202146,0.680064308681672
2,1,10,cbow,48.32930238571752,0.711705330263857,0.7038216560509554
2,1,11,SVD,0.0615848211066026,0.7710155273960378,0.7576243980738363
2,1,11,skipgram,545.5594781168514,0.6885838150289018,0.672077922077922
2,1,11,cbow,297.63514416313194,0.7082066869300911,0.7427652733118971
2,1,12,SVD,0.6951927961775606,0.781470110167961,0.7711038961038961
2,1,12,skipgram,162.3776739188721,0.6943071572396119,0.7067545304777595
2,1,12,cbow,48.32930238571752,0.7122667149845987,0.7166123778501629
2,1,13,SVD,0.2069138081114789,0.7733649116414647,0.7836065573770492
2,1,13,skipgram,88.58667904100822,0.6945521698984303,0.7043189368770764
2,1,13,cbow,88.58667904100822,0.7134502923976608,0.7055921052631579
2,1,14,SVD,0.2069138081114789,0.7681801402731635,0.7591362126245847
2,1,14,skipgram,0.0183298071083243,0.7006739049045302,0.664983164983165
2,1,14,cbow,162.3776739188721,0.7060566771624375,0.735
2,1,15,SVD,7.847599703514606,0.7848195924471864,0.7512605042016807
2,1,15,skipgram,88.58667904100822,0.6939704209328783,0.666098807495741
2,1,15,cbow,545.5594781168514,0.7086850497092478,0.7133220910623946
2,1,16,SVD,0.6951927961775606,0.788235294117647,0.7474402730375427
2,1,16,skipgram,0.0615848211066026,0.6907097518753607,0.7058823529411765
2,1,16,cbow,88.58667904100822,0.7109969558599696,0.6866438356164384
2,1,17,SVD,2.3357214690901213,0.8054594386774317,0.7754749568221071
2,1,17,skipgram,88.58667904100822,0.6949317738791423,0.6385964912280702
2,1,17,cbow,48.32930238571752,0.7084458156575395,0.682842287694974
2,1,18,SVD,0.3792690190732249,0.8033587190001953,0.8070175438596491
2,1,18,skipgram,0.3792690190732249,0.6850752177355502,0.6654804270462633
2,1,18,cbow,26.366508987303583,0.7028772753963594,0.7394366197183099
2,1,19,SVD,1.2742749857031337,0.8095901313171509,0.8336314847942755
2,1,19,skipgram,545.5594781168514,0.6862270619076427,0.6702898550724637
2,1,19,cbow,4.281332398719392,0.7145135566188198,0.6612903225806451
2,1,20,SVD,1.2742749857031337,0.8145520875557357,0.8269581056466302
2,1,20,skipgram,297.63514416313194,0.6715313463514903,0.678373382624769
2,1,20,cbow,14.38449888287663,0.71007720438846,0.7074954296160878
2,2,2,SVD,26.366508987303583,0.8340382338013872,0.8249619482496194
2,2,2,skipgram,545.5594781168514,0.7360205831903945,0.720679012345679
2,2,2,cbow,1000.0,0.7155963302752294,0.7140672782874617
2,2,3,SVD,4.281332398719392,0.837059620596206,0.8234398782343988
2,2,3,skipgram,297.63514416313194,0.7851012701682115,0.7947530864197531
2,2,3,cbow,48.32930238571752,0.6776606596395783,0.6406727828746177
2,2,4,SVD,26.366508987303583,0.838698746187733,0.8384146341463414
2,2,4,skipgram,297.63514416313194,0.7905579399141631,0.7901234567901234
2,2,4,cbow,48.32930238571752,0.6493351517217866,0.6319018404907976
2,2,5,SVD,0.1128837891684688,0.8374342440183268,0.8106870229007633
2,2,5,skipgram,162.3776739188721,0.7825115959457138,0.7836166924265843
2,2,5,cbow,88.58667904100822,0.6387461459403906,0.6271186440677966
2,2,6,SVD,48.32930238571752,0.831199863457928,0.847926267281106
2,2,6,skipgram,1000.0,0.787091222030981,0.7647058823529411
2,2,6,cbow,0.01,0.6416174939257202,0.6006240249609984
2,2,7,SVD,0.6951927961775606,0.8310249307479224,0.8161993769470405
2,2,7,skipgram,162.3776739188721,0.7903643584873079,0.7872670807453416
2,2,7,cbow,0.0183298071083243,0.6457202870645895,0.6141732283464567
2,2,8,SVD,0.3792690190732249,0.8310104529616724,0.8197492163009404
2,2,8,skipgram,297.63514416313194,0.7962224917691908,0.780373831775701
2,2,8,cbow,0.0183298071083243,0.6411297440423654,0.6079365079365079
2,2,9,SVD,14.38449888287663,0.8339457567804025,0.8377952755905512
2,2,9,skipgram,297.63514416313194,0.7972831765935214,0.8028169014084507
2,2,9,cbow,0.0183298071083243,0.6426533523537803,0.6121794871794872
2,2,10,SVD,48.32930238571752,0.8408931082981715,0.8370253164556962
2,2,10,skipgram,88.58667904100822,0.8044900123740498,0.7694753577106518
2,2,10,cbow,0.0335981828628378,0.6338104729117594,0.6351791530944625
2,2,11,SVD,26.366508987303583,0.8424973394820858,0.8532695374800638
2,2,11,skipgram,1000.0,0.7933000712758375,0.8237179487179487
2,2,11,cbow,0.01,0.6382861346083119,0.6082644628099173
2,2,12,SVD,26.366508987303583,0.8445318084345962,0.8697749196141479
2,2,12,skipgram,297.63514416313194,0.7965585230328016,0.7887096774193548
2,2,12,cbow,0.3792690190732249,0.6324162455549317,0.6195286195286195
2,2,13,SVD,48.32930238571752,0.8473351400180669,0.8571428571428571
2,2,13,skipgram,297.63514416313194,0.8029618927216905,0.7775974025974026
2,2,13,cbow,1.2742749857031337,0.6447619047619048,0.6523972602739726
2,2,14,SVD,1000.0,0.8529143065960169,0.8522167487684729
2,2,14,skipgram,88.58667904100822,0.8034608378870673,0.8081967213114755
2,2,14,cbow,162.3776739188721,0.6660811865729899,0.6298245614035087
2,2,15,SVD,7.847599703514606,0.852016278209397,0.8469217970049917
2,2,15,skipgram,297.63514416313194,0.8137092316196793,0.8009950248756219
2,2,15,cbow,297.63514416313194,0.6738223017292785,0.6457960644007156
2,2,16,SVD,545.5594781168514,0.8514371033967898,0.8640939597315436
2,2,16,skipgram,48.32930238571752,0.8154362416107382,0.8224455611390284
2,2,16,cbow,1000.0,0.6739526411657559,0.6927272727272727
2,2,17,SVD,48.32930238571752,0.8505291005291006,0.8556876061120543
2,2,17,skipgram,48.32930238571752,0.8177693761814745,0.8418367346938775
