m,n,k,emb_type,best_C,train_acc,test_acc
1,1,2,SVD,3.593813663804626,0.9575,0.95
1,1,2,skipgram,46.41588833612782,0.769733106189665,0.7627551020408163
1,1,2,cbow,0.2782559402207126,0.917854149203688,0.9221105527638191
1,1,3,SVD,0.0215443469003188,0.9127777777777778,0.9025
1,1,3,skipgram,7742.636826811277,0.813458262350937,0.7933673469387755
1,1,3,cbow,0.0215443469003188,0.9105895501536744,0.8969849246231156
1,1,4,SVD,0.0215443469003188,0.9230555555555556,0.925
1,1,4,skipgram,7742.636826811277,0.8875638841567292,0.8545918367346939
1,1,4,cbow,0.0215443469003188,0.9024867281363508,0.9045226130653268
1,1,5,SVD,0.0215443469003188,0.9219227563212004,0.9125
1,1,5,skipgram,100000.0,0.893496165861971,0.8852040816326531
1,1,5,cbow,0.0215443469003188,0.9105645612073784,0.8944723618090452
1,1,6,SVD,0.0215443469003188,0.9110864128924702,0.9
1,1,6,skipgram,100000.0,0.8741834706049417,0.8647959183673469
1,1,6,cbow,0.0001291549665014,0.921743991056456,0.907035175879397
1,1,7,SVD,0.0215443469003188,0.8876529477196885,0.8775
1,1,7,skipgram,100000.0,0.8786587098607559,0.8849104859335039
1,1,7,cbow,0.0001291549665014,0.942097902097902,0.9321608040201004
1,1,8,SVD,0.0001291549665014,0.9120756816917084,0.915
1,1,8,skipgram,7742.636826811277,0.8967870344043218,0.8849104859335039
1,1,8,cbow,0.0001291549665014,0.9493422893926672,0.9246231155778896
1,1,9,SVD,0.0001291549665014,0.8917339270804342,0.8925
1,1,9,skipgram,7742.636826811277,0.9138470287176572,0.90537084398977
1,1,9,cbow,0.2782559402207126,0.9468233977050098,0.9296482412060302
1,1,10,SVD,0.0016681005372,0.884990253411306,0.8925
1,1,10,skipgram,7742.636826811277,0.9223328591749644,0.9309462915601024
1,1,10,cbow,599.4842503189421,0.9496080627099664,0.91183879093199
1,1,11,SVD,0.0016681005372,0.9161559888579388,0.9147869674185464
1,1,11,skipgram,100000.0,0.9439066059225512,0.9437340153452686
1,1,11,cbow,7742.636826811277,0.9515270383861024,0.947103274559194
1,1,12,SVD,599.4842503189421,0.8376116071428571,0.8045112781954887
1,1,12,skipgram,7742.636826811277,0.9483889364128884,0.9615384615384616
1,1,12,cbow,100000.0,0.9556677890011224,0.9343434343434344
1,1,13,SVD,1e-05,0.8412520961430967,0.8165829145728644
1,1,13,skipgram,100000.0,0.9483004855755498,0.948586118251928
1,1,13,cbow,599.4842503189421,0.9637334832724206,0.9646464646464646
1,1,14,SVD,3.593813663804626,0.8712206047032475,0.8639798488664987
1,1,14,skipgram,100000.0,0.948769318832284,0.9537275064267352
1,1,14,cbow,7742.636826811277,0.9617009293156856,0.9544303797468354
1,1,15,SVD,0.2782559402207126,0.9077138849929872,0.8816120906801007
1,1,15,skipgram,100000.0,0.9495412844036696,0.9381443298969072
1,1,15,cbow,46.41588833612782,0.9526093088857546,0.9441624365482234
1,1,16,SVD,46.41588833612782,0.9243319268635724,0.914141414141414
1,1,16,skipgram,7742.636826811277,0.9517241379310344,0.9534883720930232
1,1,16,cbow,0.0215443469003188,0.9301668080294034,0.9083969465648856
1,1,17,SVD,3.593813663804626,0.9312482389405466,0.918987341772152
1,1,17,skipgram,100000.0,0.957961416642672,0.9430051813471504
1,1,17,cbow,7742.636826811277,0.9025219608954378,0.8854961832061069
1,1,18,SVD,3.593813663804626,0.9446171234812094,0.9365482233502538
1,1,18,skipgram,7742.636826811277,0.953783939919122,0.9532467532467532
1,1,18,cbow,1e-05,0.879511224779767,0.8976982097186701
1,1,19,SVD,46.41588833612782,0.9500425773488504,0.9464285714285714
1,1,19,skipgram,100000.0,0.9564965197215776,0.9479166666666666
1,1,19,cbow,1e-05,0.8924393723252496,0.8846153846153846
1,1,20,SVD,3.593813663804626,0.9566704675028508,0.9487179487179488
