m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,46.41588833612782,0.7593360995850622,0.7686567164179104
1,2,5,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,2,5,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,2,6,SVD,0.2782559402207126,0.7848837209302325,0.8283582089552238
1,2,6,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,2,6,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,2,7,SVD,599.4842503189421,0.7873754152823921,0.8283582089552238
1,2,7,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,2,7,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,2,8,SVD,3.593813663804626,0.7514546965918537,0.7835820895522388
1,2,8,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,2,8,cbow,1e-05,0.902547065337763,0.8712871287128713
1,2,9,SVD,46.41588833612782,0.7572734829592684,0.7761194029850746
1,2,9,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,2,9,cbow,1e-05,0.902547065337763,0.8712871287128713
1,2,10,SVD,3.593813663804626,0.7743547044129891,0.7761194029850746
1,2,10,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,2,10,cbow,1e-05,0.902547065337763,0.8712871287128713
1,3,5,SVD,1e-05,0.7450166112956811,0.746268656716418
1,3,5,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,3,5,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,3,6,SVD,3.593813663804626,0.7475083056478405,0.7611940298507462
1,3,6,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,3,6,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,3,7,SVD,3.593813663804626,0.7464671654197839,0.753731343283582
1,3,7,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,3,7,cbow,1e-05,0.902547065337763,0.8712871287128713
1,3,8,SVD,0.2782559402207126,0.744804655029094,0.753731343283582
1,3,8,skipgram,3.593813663804626,0.902547065337763,0.8712871287128713
1,3,8,cbow,1e-05,0.902547065337763,0.8712871287128713
1,3,9,SVD,0.2782559402207126,0.7470881863560732,0.7686567164179104
1,3,9,skipgram,46.41588833612782,0.903654485049834,0.8712871287128713
1,3,9,cbow,1e-05,0.902547065337763,0.8712871287128713
