m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,0.01,0.62342594443334,0.6258992805755396
1,2,5,skipgram,0.01,0.7661403158105137,0.7482014388489209
1,2,5,cbow,0.464158883361278,0.8065160903457925,0.7931654676258992
1,2,6,SVD,0.0359381366380462,0.6467173738991193,0.6402877697841727
1,2,6,skipgram,0.01,0.8025210084033614,0.8111510791366906
1,2,6,cbow,5.994842503189409,0.8109243697478992,0.814748201438849
1,2,7,SVD,0.01,0.637221441477615,0.6498194945848376
1,2,7,skipgram,1.6681005372000592,0.80276886035313,0.8339350180505415
1,2,7,cbow,0.464158883361278,0.8158105939004815,0.8231046931407943
1,2,8,SVD,5.994842503189409,0.6397665526262829,0.6383363471971067
1,2,8,skipgram,0.0359381366380462,0.8108271281948078,0.7775768535262206
1,2,8,cbow,278.2559402207126,0.8198832763131415,0.8173598553345389
1,2,9,SVD,0.0359381366380462,0.6473439709149666,0.676950998185118
1,2,9,skipgram,0.0359381366380462,0.8192284386992527,0.7912885662431942
1,2,9,cbow,21.54434690031885,0.8190264593011513,0.8021778584392014
1,2,10,SVD,1.6681005372000592,0.6598943518894759,0.6928702010968921
1,2,10,skipgram,0.1291549665014884,0.8141754670999187,0.8102189781021898
1,2,10,cbow,278.2559402207126,0.8166125101543461,0.8357664233576643
1,3,5,SVD,1.6681005372000592,0.6342731453709258,0.6205035971223022
1,3,5,skipgram,1.6681005372000592,0.7424515096980604,0.6906474820143885
1,3,5,cbow,1.6681005372000592,0.7886422715456909,0.8057553956834532
1,3,6,SVD,0.464158883361278,0.6285542651181417,0.6306306306306306
1,3,6,skipgram,0.01,0.7575030012004802,0.7320143884892086
1,3,6,cbow,1.6681005372000592,0.8041216486594638,0.7859712230215827
1,3,7,SVD,0.01,0.6432302129369225,0.6173285198555957
1,3,7,skipgram,0.01,0.7902772197669747,0.7815884476534296
1,3,7,cbow,1.6681005372000592,0.7999196464443552,0.8321299638989169
1,3,8,SVD,0.0359381366380462,0.6481481481481481,0.6304347826086957
1,3,8,skipgram,0.01,0.8093800322061192,0.8188405797101449
1,3,8,cbow,0.1291549665014884,0.8011272141706924,0.8278985507246377
1,3,9,SVD,0.1291549665014884,0.6551375404530745,0.6836363636363636
1,3,9,skipgram,0.01,0.8168216740800647,0.8381818181818181
1,3,9,cbow,77.42636826811278,0.812778002426203,0.8436363636363636
1,3,10,SVD,0.01,0.6610376398779247,0.680073126142596
1,3,10,skipgram,0.0359381366380462,0.8143554290361936,0.8117001828153565
1,3,10,cbow,77.42636826811278,0.8161854412362749,0.8244972577696527
1,4,5,SVD,0.464158883361278,0.7007007007007007,0.7158273381294964
1,4,5,skipgram,0.01,0.7249449889977996,0.6906474820143885
1,4,5,cbow,0.0359381366380462,0.7779555911182237,0.7679856115107914
1,4,6,SVD,0.01,0.6684052156469408,0.7148014440433214
1,4,6,skipgram,0.01,0.737063778580024,0.6805054151624549
1,4,6,cbow,0.01,0.7896109105495387,0.7689530685920578
1,4,7,SVD,0.1291549665014884,0.6507744920539127,0.6473779385171791
1,4,7,skipgram,0.01,0.76000804667069,0.7124773960216998
1,4,7,cbow,0.01,0.7936028968014484,0.7992766726943942
1,4,8,SVD,0.1291549665014884,0.6337373737373737,0.6696914700544465
1,4,8,skipgram,0.01,0.777059773828756,0.7731397459165155
1,4,8,cbow,21.54434690031885,0.7938206785137318,0.8257713248638838
1,4,9,SVD,0.01,0.6315576260887178,0.6429872495446266
1,4,9,skipgram,0.01,0.8062753036437247,0.7777777777777778
1,4,9,cbow,0.01,0.7977732793522267,0.8051001821493625
1,4,10,SVD,0.01,0.6332926332926333,0.6648351648351648
1,4,10,skipgram,0.01,0.819735503560529,0.8135283363802559
1,4,10,cbow,0.0359381366380462,0.8046795523906409,0.8062157221206582
1,5,5,SVD,1.6681005372000592,0.7691536301644605,0.781981981981982
