m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,svd,7.847599703514606,0.7481988472622478,0.7540453074433657
1,2,5,skipgram,48.32930238571752,0.7053314121037464,0.7022653721682848
1,2,5,cbow,297.63514416313194,0.7964697406340058,0.8090614886731392
1,2,6,svd,1000.0,0.7449567723342939,0.7896440129449838
1,2,6,skipgram,14.38449888287663,0.7363112391930836,0.7184466019417476
1,2,6,cbow,4.281332398719392,0.7676512968299711,0.7896440129449838
1,2,7,svd,162.3776739188721,0.7662103746397695,0.7702265372168284
1,2,7,skipgram,297.63514416313194,0.7330691642651297,0.6796116504854369
1,2,7,cbow,162.3776739188721,0.7712536023054755,0.7799352750809061
1,2,8,svd,1000.0,0.7539625360230547,0.7346278317152104
1,2,8,skipgram,545.5594781168514,0.7359510086455331,0.6957928802588996
1,2,8,cbow,0.6951927961775606,0.7788184438040345,0.7961165048543689
1,2,9,svd,297.63514416313194,0.7719740634005764,0.7572815533980582
1,2,9,skipgram,297.63514416313194,0.734149855907781,0.6925566343042071
1,2,9,cbow,7.847599703514606,0.7784582132564841,0.7928802588996764
1,2,10,svd,88.58667904100822,0.7647694524495677,0.7961165048543689
1,2,10,skipgram,545.5594781168514,0.7399135446685879,0.7087378640776699
1,2,10,cbow,0.37926901907322497,0.7813400576368876,0.7864077669902912
1,3,5,svd,162.3776739188721,0.8487031700288185,0.8673139158576052
1,3,5,skipgram,88.58667904100822,0.7179394812680115,0.7443365695792881
1,3,5,cbow,48.32930238571752,0.8422190201729106,0.8511326860841424
1,3,6,svd,48.32930238571752,0.8281700288184438,0.8317152103559871
1,3,6,skipgram,48.32930238571752,0.7219020172910663,0.7184466019417476
1,3,6,cbow,88.58667904100822,0.8357348703170029,0.8446601941747572
1,3,7,svd,162.3776739188721,0.8047550432276657,0.8252427184466019
1,3,7,skipgram,48.32930238571752,0.7038904899135446,0.7378640776699029
1,3,7,cbow,88.58667904100822,0.8314121037463977,0.8090614886731392
1,3,8,svd,88.58667904100822,0.7827809798270894,0.8187702265372169
1,3,8,skipgram,297.63514416313194,0.7168587896253602,0.7281553398058253
1,3,8,cbow,88.58667904100822,0.8141210374639769,0.8187702265372169
1,3,9,svd,297.63514416313194,0.7755763688760807,0.8187702265372169
1,3,9,skipgram,48.32930238571752,0.728386167146974,0.7216828478964401
1,3,9,cbow,48.32930238571752,0.80835734870317,0.7961165048543689
1,3,10,svd,297.63514416313194,0.7762968299711815,0.7993527508090615
1,3,10,skipgram,297.63514416313194,0.7431556195965417,0.7216828478964401
1,3,10,cbow,88.58667904100822,0.8090778097982709,0.8090614886731392
1,4,5,svd,1.2742749857031335,0.8566282420749279,0.8381877022653722
1,4,5,skipgram,14.38449888287663,0.7395533141210374,0.7475728155339806
1,4,5,cbow,88.58667904100822,0.8638328530259366,0.8381877022653722
1,4,6,svd,1.2742749857031335,0.8602305475504323,0.8446601941747572
1,4,6,skipgram,48.32930238571752,0.729106628242075,0.7540453074433657
1,4,6,cbow,26.366508987303583,0.8555475504322767,0.8478964401294499
1,4,7,svd,7.847599703514606,0.8577089337175793,0.8511326860841424
1,4,7,skipgram,14.38449888287663,0.7301873198847262,0.7055016181229773
1,4,7,cbow,297.63514416313194,0.8530259365994236,0.8349514563106796
1,4,8,svd,2.3357214690901213,0.8526657060518732,0.8576051779935275
1,4,8,skipgram,26.366508987303583,0.7273054755043228,0.7572815533980582
1,4,8,cbow,1000.0,0.850864553314121,0.8349514563106796
1,4,9,svd,4.281332398719392,0.8523054755043228,0.8543689320388349
1,4,9,skipgram,297.63514416313194,0.7309077809798271,0.7572815533980582
1,4,9,cbow,26.366508987303583,0.8429394812680115,0.8220064724919094
1,4,10,svd,4.281332398719392,0.854106628242075,0.8478964401294499
1,4,10,skipgram,162.3776739188721,0.7316282420749279,0.7216828478964401
1,4,10,cbow,4.281332398719392,0.832492795389049,0.8381877022653722
1,5,5,svd,0.37926901907322497,0.8609510086455331,0.86084142394822
1,5,5,skipgram,48.32930238571752,0.7496397694524496,0.7799352750809061
1,5,5,cbow,26.366508987303583,0.8631123919308358,0.8381877022653722
1,5,6,svd,0.37926901907322497,0.8544668587896254,0.86084142394822
1,5,6,skipgram,48.32930238571752,0.7370317002881844,0.7313915857605178
1,5,6,cbow,26.366508987303583,0.8631123919308358,0.8511326860841424
1,5,7,svd,0.6951927961775606,0.8602305475504323,0.8576051779935275
1,5,7,skipgram,7.847599703514606,0.7330691642651297,0.7119741100323624
1,5,7,cbow,2.3357214690901213,0.8595100864553314,0.8381877022653722
1,5,8,svd,0.20691380811147891,0.861671469740634,0.8349514563106796
1,5,8,skipgram,88.58667904100822,0.7402737752161384,0.6957928802588996
1,5,8,cbow,26.366508987303583,0.8638328530259366,0.8349514563106796
1,5,9,svd,0.6951927961775606,0.8634726224783862,0.8770226537216829
1,5,9,skipgram,26.366508987303583,0.7309077809798271,0.7216828478964401
1,5,9,cbow,48.32930238571752,0.8562680115273775,0.8317152103559871
1,5,10,svd,2.3357214690901213,0.8577089337175793,0.8673139158576052
1,5,10,skipgram,4.281332398719392,0.7359510086455331,0.7087378640776699
1,5,10,cbow,162.3776739188721,0.8469020172910663,0.8640776699029126
1,6,5,svd,0.01,0.8490634005763689,0.8122977346278317
1,6,5,skipgram,88.58667904100822,0.7644092219020173,0.7443365695792881
1,6,5,cbow,14.38449888287663,0.8436599423631124,0.8349514563106796
1,6,6,svd,14.38449888287663,0.8537463976945245,0.8770226537216829
1,6,6,skipgram,545.5594781168514,0.7449567723342939,0.7605177993527508
1,6,6,cbow,14.38449888287663,0.8530259365994236,0.86084142394822
1,6,7,svd,0.37926901907322497,0.8544668587896254,0.8446601941747572
1,6,7,skipgram,88.58667904100822,0.7431556195965417,0.7378640776699029
1,6,7,cbow,88.58667904100822,0.8580691642651297,0.8381877022653722
1,6,8,svd,0.6951927961775606,0.8580691642651297,0.86084142394822
1,6,8,skipgram,14.38449888287663,0.7370317002881844,0.7216828478964401
