emb_type,m,n,k,cohesion-lit-gpt-p-val,cohesion-lit-bot-p-val,separation-lit-gpt-p-val,separation-lit-bot-p-val,RS-lit-gpt-p-val,RS-lit-bot-p-val,RMSSTD-lit-gpt-p-val,RMSSTD-lit-bot-p-val
svd,1,2,5,5.1554508782844175e-06,0.0,1.5363377972751036e-158,0.0,2.0153588371479279e-137,0.0,1.8661711648267194e-05,0.0
svd,1,2,6,1.4387170979212095e-11,0.0,1.1717327306688546e-160,0.0,2.368193907482264e-146,0.0,1.3711768787997358e-10,0.0
svd,1,2,7,1.2632501040979968e-51,0.0,3.792564111836394e-163,0.0,5.123621454517425e-162,0.0,1.6814060046755302e-49,0.0
svd,1,2,8,3.366101474744552e-79,0.0,3.721567879176654e-165,0.0,1.1037170398388667e-174,0.0,1.1611033588851996e-76,0.0
svd,1,2,9,1.0514805490791533e-71,0.0,3.878204012703311e-164,0.0,3.96029254801113e-171,0.0,7.718863189020767e-69,0.0
svd,1,2,10,5.89804112755806e-55,0.0,2.423111033101894e-163,0.0,2.4484930005826002e-166,0.0,4.52969116724097e-52,0.0
svd,1,3,5,1.4429145729420164e-150,0.0,1.0266080816645644e-138,0.0,7.442240769231193e-75,6.289443721839987e-260,2.7264089787156223e-151,0.0
svd,1,3,6,6.632018932998082e-149,0.0,2.5350374457374807e-139,0.0,5.894520244195699e-87,2.8315324200536547e-292,5.153470318006812e-150,0.0
svd,1,3,7,1.2273693787280736e-77,0.0,4.7481035978936845e-138,0.0,4.583899897644641e-87,5.067751845665051e-285,5.67534116612256e-79,0.0
svd,1,3,8,9.381394381686051e-06,0.0,2.6492467723468107e-141,0.0,4.53514826600733e-103,2.780850123598508e-288,3.7806243131836192e-06,0.0
svd,1,3,9,0.0148262750041891,0.0,9.472254512809676e-145,0.0,5.173160371845991e-114,2.2871722803813628e-281,0.0078233306741667,0.0
svd,1,3,10,0.0519089488136904,0.0,2.930131818751524e-146,0.0,9.134688579147519e-119,6.930419267667155e-265,0.0284099227396548,0.0
svd,1,4,5,4.907878505528128e-144,0.0,2.5780076129854526e-144,0.0,3.7285494303987737e-70,1.8126167354410632e-170,3.0328425319819023e-144,0.0
svd,1,4,6,3.557657981252046e-147,0.0,1.0405689221836184e-140,0.0,1.4111158802339049e-65,3.6986770202067324e-164,1.5253805863970318e-147,0.0
svd,1,4,7,2.3101939894115452e-148,0.0,1.9421921705471973e-140,0.0,7.281864402352854e-74,3.656136918449362e-155,7.457768660174118e-149,0.0
svd,1,4,8,6.386045648740984e-149,0.0,1.6288557164767915e-141,0.0,5.0634947014645695e-86,6.652525165885389e-175,1.3110736639018878e-149,0.0
svd,1,4,9,9.442522534738129e-147,0.0,1.6705847727876862e-140,0.0,6.609767867388663e-86,8.457603914439465e-155,1.1001898969086429e-147,0.0
svd,1,4,10,2.151483199902596e-140,0.0,3.7580969752736783e-140,0.0,6.400067310406942e-88,3.414687841553364e-146,1.2857326338717846e-141,0.0
svd,1,5,5,2.8443398121986936e-142,0.0,1.8903692075746043e-148,0.0,1.1058749928835268e-73,2.792161885302372e-37,2.1497710869022812e-142,0.0
