m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,SVD,0.0215443469003188,0.7464387464387464,0.7735042735042735
1,2,2,skipgram,7742.636826811277,0.8640399556048834,0.8258706467661692
1,2,2,cbow,100000.0,0.8751387347391787,0.8756218905472637
1,2,4,SVD,100000.0,0.8090261282660333,0.8418803418803419
1,2,4,skipgram,599.4842503189421,0.8489727928928373,0.7960199004975125
1,2,4,cbow,7742.636826811277,0.8956135480288728,0.9054726368159204
1,2,6,SVD,7742.636826811277,0.8307984790874525,0.8376068376068376
1,2,6,skipgram,100000.0,0.7840088839533592,0.7860696517412935
1,2,6,cbow,100000.0,0.9039422543031648,0.8805970149253731
1,2,8,SVD,3.593813663804626,0.8316690442225392,0.8504273504273504
1,2,8,skipgram,599.4842503189421,0.8461111111111111,0.8159203980099502
1,2,8,cbow,7742.636826811277,0.8844444444444445,0.8805970149253731
1,2,10,SVD,46.41588833612782,0.8129462160875773,0.8290598290598291
1,2,10,skipgram,7742.636826811277,0.8866666666666667,0.8656716417910447
1,2,10,cbow,599.4842503189421,0.8405555555555555,0.835820895522388
1,3,2,SVD,599.4842503189421,0.8432304038004751,0.8376068376068376
1,3,2,skipgram,7742.636826811277,0.9472515269294836,0.945273631840796
1,3,2,cbow,7742.636826811277,0.94058856191005,0.9303482587064676
1,3,4,SVD,46.41588833612782,0.8521863117870723,0.8589743589743589
1,3,4,skipgram,46.41588833612782,0.9389228206551916,0.9402985074626866
1,3,4,cbow,7742.636826811277,0.946141032759578,0.945273631840796
1,3,6,SVD,599.4842503189421,0.849738468854018,0.8675213675213675
1,3,6,skipgram,7742.636826811277,0.9383333333333334,0.945273631840796
1,3,6,cbow,7742.636826811277,0.9511111111111112,0.9552238805970148
1,3,8,SVD,46.41588833612782,0.8501427212178877,0.8675213675213675
1,3,8,skipgram,7742.636826811277,0.9294444444444444,0.9203980099502488
1,3,8,cbow,599.4842503189421,0.9433333333333334,0.9353233830845772
1,3,10,SVD,3.593813663804626,0.8542857142857143,0.8504273504273504
1,3,10,skipgram,100000.0,0.93,0.9303482587064676
1,3,10,cbow,46.41588833612782,0.9416666666666668,0.9253731343283582
1,4,2,SVD,0.2782559402207126,0.8494061757719715,0.8504273504273504
1,4,2,skipgram,7742.636826811277,0.9450305385896725,0.965174129353234
1,4,2,cbow,7742.636826811277,0.951693503609106,0.9601990049751244
1,4,4,SVD,0.0016681005372,0.8512357414448669,0.8461538461538461
1,4,4,skipgram,46.41588833612782,0.943364797334814,0.965174129353234
1,4,4,cbow,7742.636826811277,0.9494725152692948,0.9552238805970148
1,4,6,SVD,3.593813663804626,0.8487874465049928,0.8717948717948718
1,4,6,skipgram,100000.0,0.9372222222222222,0.965174129353234
1,4,6,cbow,599.4842503189421,0.9483333333333334,0.9303482587064676
1,4,8,SVD,0.2782559402207126,0.8514992860542598,0.8589743589743589
1,4,8,skipgram,599.4842503189421,0.9383333333333334,0.9502487562189056
1,4,8,cbow,3.593813663804626,0.9433333333333334,0.9552238805970148
1,4,10,SVD,0.0215443469003188,0.8523809523809524,0.8504273504273504
1,4,10,skipgram,599.4842503189421,0.9388888888888888,0.9502487562189056
1,4,10,cbow,7742.636826811277,0.9472222222222222,0.965174129353234
1,5,2,SVD,0.0016681005372,0.8517110266159695,0.8504273504273504
1,5,2,skipgram,7742.636826811277,0.9383675735702388,0.9552238805970148
1,5,2,cbow,100000.0,0.9533592448639644,0.9751243781094528
1,5,4,SVD,3.593813663804626,0.8525915359010937,0.8717948717948718
1,5,4,skipgram,7742.636826811277,0.9416666666666668,0.965174129353234
1,5,4,cbow,46.41588833612782,0.9455555555555556,0.965174129353234
1,5,6,SVD,0.2782559402207126,0.8568030447193149,0.8675213675213675
1,5,6,skipgram,46.41588833612782,0.9366666666666666,0.9601990049751244
1,5,6,cbow,3.593813663804626,0.9472222222222222,0.965174129353234
1,5,8,SVD,1e-05,0.8542857142857143,0.8461538461538461
1,5,8,skipgram,7742.636826811277,0.9383333333333334,0.9601990049751244
1,5,8,cbow,7742.636826811277,0.9472222222222222,0.965174129353234
1,5,10,SVD,0.2782559402207126,0.8547619047619047,0.8504273504273504
1,5,10,skipgram,3.593813663804626,0.9405555555555556,0.9601990049751244
1,5,10,cbow,3.593813663804626,0.9466666666666668,0.965174129353234
1,6,2,SVD,3.593813663804626,0.8659695817490495,0.8632478632478633
1,6,2,skipgram,7742.636826811277,0.9367018323153804,0.9601990049751244
1,6,2,cbow,3.593813663804626,0.9472515269294836,0.9601990049751244
1,6,4,SVD,0.2782559402207126,0.85924869234427,0.8803418803418803
1,6,4,skipgram,599.4842503189421,0.9355555555555556,0.9601990049751244
1,6,4,cbow,0.2782559402207126,0.9461111111111112,0.965174129353234
1,6,6,SVD,3.593813663804626,0.8557829604950024,0.8632478632478633
1,6,6,skipgram,100000.0,0.9322222222222222,0.9601990049751244
1,6,6,cbow,3.593813663804626,0.9472222222222222,0.9601990049751244
1,6,8,SVD,7742.636826811277,0.8561904761904762,0.8504273504273504
1,6,8,skipgram,599.4842503189421,0.9283333333333332,0.945273631840796
1,6,8,cbow,46.41588833612782,0.9472222222222222,0.965174129353234
1,6,10,SVD,46.41588833612782,0.8542857142857143,0.8504273504273504
1,6,10,skipgram,46.41588833612782,0.9272222222222222,0.9601990049751244
