m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,SVD,1e-05,0.7429519071310116,0.7611940298507462
1,2,2,skipgram,1e-05,0.9027624309392264,0.8712871287128713
1,2,2,cbow,1e-05,0.9027624309392264,0.8712871287128713
1,2,4,SVD,1e-05,0.7427385892116183,0.7611940298507462
1,2,4,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,2,4,cbow,599.4842503189421,0.9037610619469026,0.8712871287128713
1,2,6,SVD,1e-05,0.7450166112956811,0.746268656716418
1,2,6,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,2,6,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,2,8,SVD,1e-05,0.743973399833749,0.753731343283582
1,2,8,skipgram,599.4842503189421,0.903654485049834,0.8712871287128713
1,2,8,cbow,1e-05,0.902547065337763,0.8712871287128713
1,2,10,SVD,1e-05,0.7443796835970025,0.7611940298507462
1,2,10,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,2,10,cbow,1e-05,0.902547065337763,0.8712871287128713
1,3,2,SVD,3.593813663804626,0.7427385892116183,0.753731343283582
1,3,2,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,3,2,cbow,7742.636826811277,0.9026548672566372,0.8712871287128713
1,3,4,SVD,1e-05,0.7450166112956811,0.746268656716418
1,3,4,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,3,4,cbow,7742.636826811277,0.9037610619469026,0.8712871287128713
1,3,6,SVD,1e-05,0.743973399833749,0.753731343283582
1,3,6,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,3,6,cbow,7742.636826811277,0.903654485049834,0.8712871287128713
1,3,8,SVD,1e-05,0.7445923460898503,0.753731343283582
1,3,8,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,3,8,cbow,1e-05,0.902547065337763,0.8712871287128713
1,3,10,SVD,1e-05,0.745,0.7611940298507462
1,3,10,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,3,10,cbow,1e-05,0.902547065337763,0.8712871287128713
1,4,2,SVD,1e-05,0.7427385892116183,0.7611940298507462
1,4,2,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,4,2,cbow,599.4842503189421,0.9103982300884956,0.8712871287128713
1,4,4,SVD,1e-05,0.7450166112956811,0.746268656716418
1,4,4,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,4,4,cbow,1e-05,0.9026548672566372,0.8712871287128713
1,4,6,SVD,1e-05,0.743973399833749,0.753731343283582
1,4,6,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,4,6,cbow,1e-05,0.902547065337763,0.8712871287128713
1,4,8,SVD,1e-05,0.7443796835970025,0.7611940298507462
1,4,8,skipgram,1e-05,0.902547065337763,0.8712871287128713
1,4,8,cbow,1e-05,0.902547065337763,0.8712871287128713
1,4,10,SVD,1e-05,0.745,0.7611940298507462
1,4,10,skipgram,3.593813663804626,0.9047619047619048,0.8712871287128713
1,4,10,cbow,1e-05,0.902547065337763,0.8712871287128713
1,5,2,SVD,1e-05,0.7450166112956811,0.746268656716418
1,5,2,skipgram,1e-05,0.9026548672566372,0.8712871287128713
1,5,2,cbow,46.41588833612782,0.90929203539823,0.8712871287128713
