m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,SVD,0.2782559402207126,0.9032258064516128,0.915
1,2,2,skipgram,599.4842503189421,0.8708357685563998,0.8324607329842932
1,2,2,cbow,599.4842503189421,0.9193454120397428,0.9109947643979056
1,2,4,SVD,599.4842503189421,0.969949916527546,0.955
1,2,4,skipgram,599.4842503189421,0.8824561403508772,0.8900523560209425
1,2,4,cbow,100000.0,0.9491228070175438,0.9528795811518324
1,2,6,SVD,100000.0,0.9827490261547024,0.97
1,2,6,skipgram,100000.0,0.8362573099415205,0.8167539267015707
1,2,6,cbow,599.4842503189421,0.9514619883040936,0.9424083769633508
1,2,8,SVD,599.4842503189421,0.9844097995545658,0.995
1,2,8,skipgram,7742.636826811277,0.8941520467836257,0.936842105263158
1,2,8,cbow,599.4842503189421,0.9269005847953216,0.9052631578947368
1,2,10,SVD,3.593813663804626,0.959910913140312,0.975
1,2,10,skipgram,599.4842503189421,0.9374269005847952,0.968421052631579
1,2,10,cbow,599.4842503189421,0.8918128654970761,0.9
1,3,2,SVD,46.41588833612782,0.993322203672788,0.98
1,3,2,skipgram,0.2782559402207126,0.9964912280701754,0.9947643979057592
1,3,2,cbow,7742.636826811277,0.9941520467836256,0.9895287958115184
1,3,4,SVD,46.41588833612782,0.9988870339454646,0.99
1,3,4,skipgram,46.41588833612782,0.9894736842105264,0.9842931937172776
1,3,4,cbow,599.4842503189421,0.995906432748538,1.0
1,3,6,SVD,599.4842503189421,0.9988864142538976,0.99
1,3,6,skipgram,100000.0,0.9929824561403509,0.9842105263157894
1,3,6,cbow,7742.636826811277,0.9964912280701754,1.0
1,3,8,SVD,599.4842503189421,0.9977728285077953,0.995
1,3,8,skipgram,7742.636826811277,0.980701754385965,0.9789473684210528
1,3,8,cbow,599.4842503189421,0.9941520467836256,1.0
1,3,10,SVD,3.593813663804626,0.997216035634744,1.0
1,3,10,skipgram,7742.636826811277,0.9824561403508772,0.9947368421052633
1,3,10,cbow,100000.0,0.9941520467836256,0.9947368421052633
1,4,2,SVD,0.2782559402207126,0.9977740678909294,0.995
1,4,2,skipgram,3.593813663804626,0.9970760233918128,0.9947643979057592
1,4,2,cbow,599.4842503189421,0.9953216374269006,0.9947643979057592
1,4,4,SVD,3.593813663804626,1.0,0.995
1,4,4,skipgram,599.4842503189421,0.9871345029239766,0.9947643979057592
1,4,4,cbow,46.41588833612782,0.9988304093567252,1.0
1,4,6,SVD,0.2782559402207126,0.9983296213808464,1.0
1,4,6,skipgram,599.4842503189421,0.9935672514619884,0.9894736842105264
1,4,6,cbow,46.41588833612782,0.9982456140350876,1.0
1,4,8,SVD,0.2782559402207126,0.9988864142538976,0.995
1,4,8,skipgram,599.4842503189421,0.9947368421052633,0.9789473684210528
1,4,8,cbow,46.41588833612782,0.9994152046783624,1.0
1,4,10,SVD,46.41588833612782,0.9983296213808464,0.995
1,4,10,skipgram,7742.636826811277,0.9900584795321636,0.9947368421052633
1,4,10,cbow,7742.636826811277,1.0,1.0
1,5,2,SVD,0.0215443469003188,1.0,1.0
1,5,2,skipgram,46.41588833612782,0.9871345029239766,0.9842931937172776
1,5,2,cbow,46.41588833612782,0.9982456140350876,0.9842931937172776
1,5,4,SVD,0.0016681005372,0.9988864142538976,0.995
1,5,4,skipgram,100000.0,0.9953216374269006,0.9894736842105264
1,5,4,cbow,46.41588833612782,0.9994152046783624,1.0
1,5,6,SVD,0.2782559402207126,0.9983296213808464,1.0
1,5,6,skipgram,46.41588833612782,0.9912280701754386,0.9894736842105264
1,5,6,cbow,599.4842503189421,1.0,1.0
1,5,8,SVD,0.2782559402207126,0.9977728285077953,1.0
1,5,8,skipgram,599.4842503189421,0.9935672514619884,1.0
1,5,8,cbow,3.593813663804626,0.9988304093567252,0.9947368421052633
1,5,10,SVD,3.593813663804626,0.9994432071269488,0.995
1,5,10,skipgram,7742.636826811277,0.9929824561403509,0.9947368421052633
1,5,10,cbow,3.593813663804626,0.9988304093567252,1.0
1,6,2,SVD,3.593813663804626,1.0,1.0
1,6,2,skipgram,599.4842503189421,0.9894736842105264,0.9842931937172776
1,6,2,cbow,599.4842503189421,0.9964912280701754,0.9947643979057592
1,6,4,SVD,3.593813663804626,1.0,1.0
1,6,4,skipgram,599.4842503189421,0.9923976608187136,0.9789473684210528
1,6,4,cbow,46.41588833612782,0.9988304093567252,1.0
1,6,6,SVD,0.2782559402207126,0.9994432071269488,0.995
1,6,6,skipgram,599.4842503189421,0.9900584795321636,0.9842105263157894
1,6,6,cbow,3.593813663804626,0.9994152046783624,1.0
1,6,8,SVD,3.593813663804626,0.9994432071269488,0.995
1,6,8,skipgram,46.41588833612782,0.9859649122807016,0.9736842105263158
1,6,8,cbow,3.593813663804626,0.9994152046783624,1.0
1,6,10,SVD,46.41588833612782,0.9994432071269488,0.995
1,6,10,skipgram,599.4842503189421,0.9812865497076024,0.968421052631579
1,6,10,cbow,46.41588833612782,0.9982456140350876,1.0
1,7,2,SVD,0.2782559402207126,0.9988864142538976,1.0
1,7,2,skipgram,100000.0,0.9894736842105264,0.9842105263157894
1,7,2,cbow,46.41588833612782,0.9953216374269006,0.9947368421052633
1,7,4,SVD,3.593813663804626,0.997216035634744,1.0
1,7,4,skipgram,46.41588833612782,0.9847953216374268,0.9947368421052633
1,7,4,cbow,46.41588833612782,0.9994152046783624,1.0
1,7,6,SVD,3.593813663804626,0.9994432071269488,1.0
1,7,6,skipgram,7742.636826811277,0.9719298245614036,0.968421052631579
1,7,6,cbow,46.41588833612782,1.0,1.0
1,7,8,SVD,3.593813663804626,0.9994432071269488,1.0
1,7,8,skipgram,7742.636826811277,0.9432748538011696,0.9315789473684212
1,7,8,cbow,3.593813663804626,0.9976608187134502,1.0
1,7,10,SVD,3.593813663804626,0.9994432071269488,1.0
1,7,10,skipgram,599.4842503189421,0.9567251461988304,0.936842105263158
1,7,10,cbow,46.41588833612782,0.9982456140350876,0.9947368421052633
1,8,2,SVD,0.2782559402207126,0.997216035634744,0.995
1,8,2,skipgram,100000.0,0.9824561403508772,0.9842105263157894
1,8,2,cbow,46.41588833612782,0.9970760233918128,1.0
1,8,4,SVD,46.41588833612782,0.9966592427616926,0.99
1,8,4,skipgram,599.4842503189421,0.9619883040935672,0.9315789473684212
1,8,4,cbow,46.41588833612782,0.995906432748538,1.0
1,8,6,SVD,46.41588833612782,0.9994432071269488,1.0
1,8,6,skipgram,599.4842503189421,0.9280701754385964,0.9210526315789472
1,8,6,cbow,599.4842503189421,0.995906432748538,1.0
1,8,8,SVD,46.41588833612782,0.9994432071269488,1.0
1,8,8,skipgram,599.4842503189421,0.9269005847953216,0.9263157894736842
1,8,8,cbow,3.593813663804626,0.9970760233918128,0.9842105263157894
1,8,10,SVD,3.593813663804626,0.9994428969359332,0.995
1,8,10,skipgram,7742.636826811277,0.9391812865497076,0.9421052631578948
1,8,10,cbow,599.4842503189421,0.995906432748538,0.9894736842105264
1,9,2,SVD,0.2782559402207126,0.9888641425389756,0.995
1,9,2,skipgram,599.4842503189421,0.9824561403508772,0.9894736842105264
1,9,2,cbow,46.41588833612782,0.995906432748538,1.0
1,9,4,SVD,3.593813663804626,0.9977728285077953,0.995
1,9,4,skipgram,7742.636826811277,0.932748538011696,0.8947368421052632
1,9,4,cbow,3.593813663804626,0.995906432748538,1.0
1,9,6,SVD,46.41588833612782,0.9994432071269488,1.0
