emb_type,m,n,k,RMSSTD-lit-gpt-p-val
SVD,1,2,2,0.041372731885263234
SVD,1,2,4,0.1829477907247633
SVD,1,2,6,0.0021344856525881044
SVD,1,2,8,0.7028539245968848
SVD,1,2,10,0.0936842641138269
SVD,1,3,2,0.11196787998107062
SVD,1,3,4,4.442317943031853e-08
SVD,1,3,6,5.6217220749158545e-21
SVD,1,3,8,8.289668628695162e-25
SVD,1,3,10,2.3305560354239308e-26
SVD,1,4,2,5.228059641063878e-08
SVD,1,4,4,1.0143980549427975e-22
SVD,1,4,6,3.0086858438389494e-17
SVD,1,4,8,9.15545987582028e-12
SVD,1,4,10,3.0157193951411693e-07
SVD,1,5,2,2.0946947740733244e-15
SVD,1,5,4,4.575805066272366e-07
SVD,1,5,6,0.00016589500062939112
SVD,1,5,8,0.0003701695141153585
SVD,1,5,10,0.0005687334254717152
SVD,1,6,2,4.226900510544429e-19
SVD,1,6,4,0.0006267876819384574
SVD,1,6,6,0.0003262240659499252
SVD,1,6,8,0.0003720167177174925
SVD,1,6,10,0.0003570315364945248
SVD,1,7,2,6.210348314755587e-13
SVD,1,7,4,0.0005357841435258066
SVD,1,7,6,0.0004337414813570187
SVD,1,7,8,0.00043454355360541614
SVD,1,7,10,0.00043347443122441413
SVD,1,8,2,4.913863369008945e-07
SVD,1,8,4,0.00039320520811577563
SVD,1,8,6,0.0005346447316021423
SVD,1,8,8,0.0005310844910397632
SVD,1,8,10,0.0005740969208559229
SVD,1,9,2,3.7211560603761865e-05
SVD,1,9,4,0.0007025426565812721
SVD,1,9,6,0.0006802727329873132
SVD,1,9,8,0.0006798665851132708
SVD,1,9,10,0.0009589500305377569
SVD,1,10,2,0.0001682190554438226
SVD,1,10,4,0.0008176385688040605
SVD,1,10,6,0.0008066235208028787
SVD,1,10,8,0.0008738867238639386
SVD,1,10,10,0.0010116455746083
SVD,2,2,2,0.0006906697410456863
SVD,2,2,4,9.630417201686105e-06
SVD,2,2,6,0.9862690665897809
SVD,2,2,8,0.00024643307470353855
SVD,2,2,10,1.6248147029028146e-10
SVD,2,3,2,0.052682275306147566
SVD,2,3,4,8.69443860013226e-06
SVD,2,3,6,1.1864471050161976e-15
SVD,2,3,8,1.6217661803795462e-22
SVD,2,3,10,7.677696529241351e-25
SVD,2,4,2,4.2610539578786585e-08
SVD,2,4,4,1.8306242444783416e-22
SVD,2,4,6,3.193306283554014e-28
SVD,2,4,8,1.4428546278374174e-25
SVD,2,4,10,6.47588619785018e-17
SVD,2,5,2,1.5509353166909435e-19
SVD,2,5,4,1.177611986622772e-16
SVD,2,5,6,2.9901768074960355e-07
SVD,2,5,8,0.0004686461223551755
SVD,2,5,10,0.0016639379275960786
SVD,2,6,2,1.1124829857657788e-20
SVD,2,6,4,0.00038275031728844856
SVD,2,6,6,0.0018878699575420794
SVD,2,6,8,0.0020581335758800357
SVD,2,6,10,0.0018068165377094025
SVD,2,7,2,1.6780404612031543e-16
SVD,2,7,4,0.0027214613212211683
SVD,2,7,6,0.0020178308637389514
SVD,2,7,8,0.00200566137902302
SVD,2,7,10,0.0019979522698901505
SVD,2,8,2,8.389357406925093e-08
SVD,2,8,4,0.0023065176452979545
SVD,2,8,6,0.0025735756892629343
SVD,2,8,8,0.0025735756892629343
SVD,2,8,10,0.0027448433655328933
SVD,2,9,2,4.775518076070194e-05
SVD,2,9,4,0.003111063595885353
SVD,2,9,6,0.0030749892154647235
SVD,2,9,8,0.003061966120344614
SVD,2,9,10,0.0041673723319138245
SVD,2,10,2,0.0008549440341655288
SVD,2,10,4,0.0036870354535052914
SVD,2,10,6,0.0036164622365315114
SVD,2,10,8,0.003877044205463573
SVD,2,10,10,0.004434049309178853
SVD,3,2,2,1.5415108890476047e-05
SVD,3,2,4,3.322859711708054e-05
SVD,3,2,6,0.6352060453729801
SVD,3,2,8,2.252310984786073e-08
SVD,3,2,10,1.0513587883377678e-14
SVD,3,3,2,0.0007723577187256077
SVD,3,3,4,0.001426612142615645
SVD,3,3,6,2.87871234614737e-14
SVD,3,3,8,2.6286170594821257e-21
SVD,3,3,10,8.882605021349585e-23
SVD,3,4,2,8.859029060054828e-06
SVD,3,4,4,1.879472299862682e-23
SVD,3,4,6,3.6402111279528567e-29
SVD,3,4,8,3.5569457534519627e-32
SVD,3,4,10,4.999486057645861e-21
SVD,3,5,2,1.012014255720627e-18
SVD,3,5,4,3.7285818690970644e-23
SVD,3,5,6,4.456651412992762e-10
SVD,3,5,8,2.615174721281597e-05
SVD,3,5,10,0.0007254885057897503
SVD,3,6,2,1.0931450395085668e-19
SVD,3,6,4,8.575229469496783e-05
SVD,3,6,6,0.0021524691210823713
SVD,3,6,8,0.0029722037629557998
SVD,3,6,10,0.0027361303277935326
SVD,3,7,2,5.102225507082563e-16
SVD,3,7,4,0.005470358396522588
SVD,3,7,6,0.0031894275795685094
SVD,3,7,8,0.003149189917714291
SVD,3,7,10,0.0031408655388900915
SVD,3,8,2,2.1339716423701385e-07
SVD,3,8,4,0.0038775383223020616
SVD,3,8,6,0.003878035464164104
SVD,3,8,8,0.0038820664971239358
SVD,3,8,10,0.004153732403151862
SVD,3,9,2,0.0001874344586185522
SVD,3,9,4,0.0049823163060783125
SVD,3,9,6,0.004847472521184529
SVD,3,9,8,0.004842542324919562
SVD,3,9,10,0.006511943194029963
SVD,3,10,2,0.0017105922104438903
SVD,3,10,4,0.0056603615912536286
SVD,3,10,6,0.005407442220139174
SVD,3,10,8,0.005851052697902718
SVD,3,10,10,0.00667073360765574
SVD,4,2,2,4.893610029909067e-08
SVD,4,2,4,1.3636926827013355e-05
SVD,4,2,6,0.02138542029662442
SVD,4,2,8,1.6659457452215024e-11
SVD,4,2,10,4.231557386978092e-15
SVD,4,3,2,0.000311813631800079
SVD,4,3,4,0.005045769827150755
SVD,4,3,6,2.5115256116674686e-11
SVD,4,3,8,1.364950102620866e-18
SVD,4,3,10,2.8297422044868254e-21
SVD,4,4,2,0.0002942001424189408
SVD,4,4,4,9.891647022289953e-22
SVD,4,4,6,1.8360296611478035e-28
SVD,4,4,8,2.111224821885319e-33
SVD,4,4,10,1.2235108324004913e-26
SVD,4,5,2,1.7594752901248186e-16
SVD,4,5,4,2.8794115905507835e-24
SVD,4,5,6,3.044696465538731e-13
SVD,4,5,8,1.577095983765144e-06
SVD,4,5,10,0.0004873627688453492
SVD,4,6,2,8.300248927433612e-21
SVD,4,6,4,1.7754659048128045e-05
SVD,4,6,6,0.003528750032911622
SVD,4,6,8,0.006392016347555077
SVD,4,6,10,0.0072218113207199635
SVD,4,7,2,4.154614270956935e-15
SVD,4,7,4,0.01047342137975313
SVD,4,7,6,0.0073679465176907126
SVD,4,7,8,0.007360756885645034
SVD,4,7,10,0.007360756885645034
SVD,4,8,2,5.374948448837632e-07
SVD,4,8,4,0.008495289207830808
SVD,4,8,6,0.00886233937727751
SVD,4,8,8,0.00885809736118639
SVD,4,8,10,0.009429829241233667
SVD,4,9,2,0.00031930494139931773
SVD,4,9,4,0.010853439154587743
SVD,4,9,6,0.010737093838501207
SVD,4,9,8,0.010656813278608486
SVD,4,9,10,0.014059535076721402
SVD,4,10,2,0.003061295925430861
SVD,4,10,4,0.011924357834012973
SVD,4,10,6,0.012254346602847847
SVD,4,10,8,0.013044097383515346
SVD,4,10,10,0.014782841992668576
SVD,5,2,2,2.070058468433411e-08
SVD,5,2,4,7.327873871908448e-05
SVD,5,2,6,3.230963480552569e-05
SVD,5,2,8,5.602521987231751e-16
SVD,5,2,10,6.288820188744785e-18
SVD,5,3,2,0.014651660249377986
SVD,5,3,4,0.0008994155174820965
SVD,5,3,6,3.361599792200825e-11
SVD,5,3,8,2.681935878576441e-16
SVD,5,3,10,2.1831610109991834e-20
SVD,5,4,2,0.0023491693910766584
SVD,5,4,4,4.715108779553571e-20
SVD,5,4,6,1.661745885015255e-28
SVD,5,4,8,9.491896659325504e-33
SVD,5,4,10,2.528247701740524e-28
SVD,5,5,2,6.391161055713281e-15
SVD,5,5,4,1.3762939796416855e-26
SVD,5,5,6,1.2011695735429e-15
SVD,5,5,8,1.969787159119097e-08
SVD,5,5,10,0.00012614789626002397
SVD,5,6,2,3.3381511231111067e-18
SVD,5,6,4,8.61326750949616e-07
SVD,5,6,6,0.0028056742770520412
SVD,5,6,8,0.006360433127242092
SVD,5,6,10,0.008836914476729
SVD,5,7,2,4.852629762060568e-15
SVD,5,7,4,0.010395186379584833
SVD,5,7,6,0.009317978196554668
SVD,5,7,8,0.009407099101634939
SVD,5,7,10,0.009416052878057404
SVD,5,8,2,4.6028885309322505e-06
SVD,5,8,4,0.0112132098329074
SVD,5,8,6,0.011398936209155318
SVD,5,8,8,0.011404246357759724
SVD,5,8,10,0.012116585119882357
SVD,5,9,2,0.001854065815506505
SVD,5,9,4,0.01405414764404897
SVD,5,9,6,0.013844661672702149
SVD,5,9,8,0.013756625016655696
SVD,5,9,10,0.01803177136914946
SVD,5,10,2,0.004974368858022423
SVD,5,10,4,0.0149068617221776
SVD,5,10,6,0.015350068797965315
SVD,5,10,8,0.01631592736435348
SVD,5,10,10,0.018471957130406884
SVD,6,2,2,4.5149712799067456e-10
SVD,6,2,4,0.0028022059664015372
SVD,6,2,6,1.8498597279770087e-07
SVD,6,2,8,1.8680243929530738e-16
SVD,6,2,10,7.220517225508538e-18
SVD,6,3,2,0.002140615828378913
SVD,6,3,4,0.0002500947390351393
SVD,6,3,6,4.0652577179171325e-11
SVD,6,3,8,9.756830766952638e-15
SVD,6,3,10,5.501582842097717e-19
SVD,6,4,2,0.012670521285615386
SVD,6,4,4,2.4315884627860055e-17
SVD,6,4,6,5.863726268884397e-27
SVD,6,4,8,3.289084517105748e-29
SVD,6,4,10,8.996447245292673e-29
SVD,6,5,2,3.9656791116877264e-12
SVD,6,5,4,1.0849266402061653e-25
SVD,6,5,6,5.298278795352385e-16
SVD,6,5,8,3.6041332939609076e-09
SVD,6,5,10,5.160293467743938e-05
SVD,6,6,2,1.9189610166320937e-16
SVD,6,6,4,2.5306086221376986e-07
SVD,6,6,6,0.004504376320232358
SVD,6,6,8,0.01990707541969875
SVD,6,6,10,0.02235375884421102
SVD,6,7,2,1.5965115761315554e-14
SVD,6,7,4,0.019836228701408033
SVD,6,7,6,0.022887022348551354
SVD,6,7,8,0.0237834822647935
SVD,6,7,10,0.023966384710268074
SVD,6,8,2,1.7305339197399604e-05
SVD,6,8,4,0.027222504336818235
SVD,6,8,6,0.029000303677135235
SVD,6,8,8,0.028892290407837178
SVD,6,8,10,0.03051664127130497
SVD,6,9,2,0.005530956250018691
SVD,6,9,4,0.03376561751829044
SVD,6,9,6,0.03341110145543909
SVD,6,9,8,0.03327559957894815
SVD,6,9,10,0.042491388886501426
SVD,6,10,2,0.012324629449781464
SVD,6,10,4,0.0371629393342292
SVD,6,10,6,0.03807913459191433
SVD,6,10,8,0.040159252472763335
SVD,6,10,10,0.04502126687626523
SVD,7,2,2,1.7117770623021714e-10
SVD,7,2,4,0.012271395672524553
SVD,7,2,6,8.89362867042713e-09
SVD,7,2,8,1.5666593099043707e-17
SVD,7,2,10,6.697163718436372e-19
SVD,7,3,2,0.0279643870343536
SVD,7,3,4,0.0005453567897217204
SVD,7,3,6,1.0849353414791069e-10
SVD,7,3,8,4.841697874812448e-14
SVD,7,3,10,6.901732548209641e-18
SVD,7,4,2,0.0033740081892691784
SVD,7,4,4,6.644201336563042e-17
SVD,7,4,6,2.3643221903124366e-25
SVD,7,4,8,3.1243145840169246e-30
SVD,7,4,10,1.5460091216281358e-28
SVD,7,5,2,6.223828464005007e-12
SVD,7,5,4,2.9484682389958e-26
SVD,7,5,6,1.1844751423302452e-17
SVD,7,5,8,1.0154065572920343e-09
SVD,7,5,10,7.924522217451276e-06
SVD,7,6,2,5.167074845726144e-19
SVD,7,6,4,5.7865379138796505e-09
SVD,7,6,6,0.0031234780118534456
SVD,7,6,8,0.031350199798559616
SVD,7,6,10,0.04431579703662429
SVD,7,7,2,3.3938520529430557e-16
SVD,7,7,4,0.022057145699859292
SVD,7,7,6,0.0466255831413112
SVD,7,7,8,0.04929953130898518
SVD,7,7,10,0.04964027594011154
SVD,7,8,2,1.687185883893657e-06
SVD,7,8,4,0.05017829569922106
SVD,7,8,6,0.05797434982390034
SVD,7,8,8,0.05775856842744986
SVD,7,8,10,0.06065982382082573
SVD,7,9,2,0.008026279245766686
SVD,7,9,4,0.07025419496928208
SVD,7,9,6,0.06842513855391176
SVD,7,9,8,0.06815295144402883
SVD,7,9,10,0.08486385684474228
SVD,7,10,2,0.023120799274009014
SVD,7,10,4,0.07329544052832587
SVD,7,10,6,0.07458958393430642
SVD,7,10,8,0.07837804294748667
SVD,7,10,10,0.08687006174739492
SVD,8,2,2,2.506517116312622e-10
SVD,8,2,4,0.024533329755575234
SVD,8,2,6,1.1493649781352593e-09
SVD,8,2,8,1.088263686458118e-17
SVD,8,2,10,1.947976900424057e-18
SVD,8,3,2,0.010346081484387828
SVD,8,3,4,5.018875666504623e-05
SVD,8,3,6,2.7622773238714646e-11
SVD,8,3,8,1.610811550933452e-14
SVD,8,3,10,4.609409683372902e-17
SVD,8,4,2,0.001680119902278108
SVD,8,4,4,4.708827291763991e-18
SVD,8,4,6,1.4309914338885427e-24
SVD,8,4,8,3.958102488566795e-31
SVD,8,4,10,1.2190571710751691e-30
SVD,8,5,2,1.0352361540604489e-10
SVD,8,5,4,2.085393572887175e-26
SVD,8,5,6,5.878598175307799e-20
SVD,8,5,8,7.696690716055305e-12
SVD,8,5,10,6.353917445787958e-07
SVD,8,6,2,7.300699599537168e-20
SVD,8,6,4,1.5937910720905109e-10
SVD,8,6,6,0.0004286782365914312
SVD,8,6,8,0.014266426256597955
SVD,8,6,10,0.01766622525889167
SVD,8,7,2,8.77371044054403e-16
SVD,8,7,4,0.01261886788434294
SVD,8,7,6,0.022124468478624548
SVD,8,7,8,0.024428986399317034
SVD,8,7,10,0.025506286022993093
SVD,8,8,2,1.1767810548344213e-06
SVD,8,8,4,0.027737947907403596
SVD,8,8,6,0.03047402455673302
SVD,8,8,8,0.030323813298274518
SVD,8,8,10,0.032005038570612016
SVD,8,9,2,0.002792056593074834
SVD,8,9,4,0.035773474762542216
SVD,8,9,6,0.0356585167657039
SVD,8,9,8,0.03548667068841237
SVD,8,9,10,0.04506916015075299
SVD,8,10,2,0.012228418271099148
SVD,8,10,4,0.0391851939520679
SVD,8,10,6,0.040095916721290266
SVD,8,10,8,0.04230382090475913
SVD,8,10,10,0.047232303266883414
skipgram,1,2,2,9.97629445934055e-06
skipgram,1,2,4,9.340807642416745e-07
skipgram,1,2,6,3.5808068494505965e-05
skipgram,1,2,8,3.804239949627987e-05
skipgram,1,2,10,0.000170567485467735
skipgram,1,3,2,0.0033222891395501245
skipgram,1,3,4,7.942884576733861e-05
skipgram,1,3,6,0.001437630191490103
skipgram,1,3,8,0.004137383880608023
skipgram,1,3,10,0.008681611227057564
skipgram,1,4,2,0.023913719178543773
skipgram,1,4,4,0.0018139076242171927
skipgram,1,4,6,0.0011209461014180175
skipgram,1,4,8,0.00022272639130442842
skipgram,1,4,10,5.399006452245609e-05
skipgram,1,5,2,0.021546314390394346
skipgram,1,5,4,0.0003552821857945799
skipgram,1,5,6,3.527570122967679e-05
skipgram,1,5,8,5.855441753684434e-06
skipgram,1,5,10,4.131950845256088e-06
skipgram,1,6,2,0.0018521014087350433
skipgram,1,6,4,2.454721150803412e-05
skipgram,1,6,6,7.383097111229394e-06
skipgram,1,6,8,9.713682528630473e-07
skipgram,1,6,10,1.0865407220577416e-06
skipgram,1,7,2,0.00022817573724311235
skipgram,1,7,4,7.308330478159517e-06
skipgram,1,7,6,4.330336412355419e-06
skipgram,1,7,8,9.345102792015106e-07
skipgram,1,7,10,1.6597347910102439e-06
skipgram,1,8,2,0.00023209740794636252
skipgram,1,8,4,9.026172474684536e-06
skipgram,1,8,6,3.3391140703545976e-06
skipgram,1,8,8,1.230414414584096e-06
skipgram,1,8,10,2.0369273331920616e-06
skipgram,1,9,2,0.0002038701884989585
skipgram,1,9,4,8.035238795447241e-06
skipgram,1,9,6,9.816098096762796e-06
skipgram,1,9,8,1.842367822202143e-06
skipgram,1,9,10,8.647921749209169e-07
skipgram,1,10,2,9.3299098054153e-05
skipgram,1,10,4,8.172114470182311e-06
skipgram,1,10,6,7.689542909674366e-06
skipgram,1,10,8,2.018783482500726e-06
skipgram,1,10,10,1.092531463996403e-06
skipgram,2,2,2,0.01246843809664903
skipgram,2,2,4,6.953833755747527e-09
skipgram,2,2,6,6.000607466370827e-12
skipgram,2,2,8,4.428512194355775e-14
skipgram,2,2,10,1.1834843259884652e-14
skipgram,2,3,2,5.014162748883907e-06
skipgram,2,3,4,4.570629485504714e-12
skipgram,2,3,6,5.2303306854948914e-14
skipgram,2,3,8,4.746739143007465e-14
skipgram,2,3,10,4.0068065905443283e-14
skipgram,2,4,2,1.1114614966809336e-10
skipgram,2,4,4,7.190328346347995e-15
skipgram,2,4,6,4.823864538833549e-15
skipgram,2,4,8,2.041707578943272e-14
skipgram,2,4,10,5.778235683590901e-14
skipgram,2,5,2,1.484800244772784e-12
skipgram,2,5,4,1.4617617323727822e-15
skipgram,2,5,6,2.7852675954707705e-15
skipgram,2,5,8,3.9845734648018493e-14
skipgram,2,5,10,4.8667194666371856e-14
skipgram,2,6,2,6.196685696297793e-14
skipgram,2,6,4,1.1625269481491246e-15
skipgram,2,6,6,2.7691427719081577e-15
skipgram,2,6,8,3.2875631860646066e-14
skipgram,2,6,10,3.380595319241181e-14
skipgram,2,7,2,4.941608582354355e-16
skipgram,2,7,4,1.4790014699993341e-15
skipgram,2,7,6,6.247069934895576e-15
skipgram,2,7,8,2.8829657681208876e-14
skipgram,2,7,10,2.8112784239491232e-14
skipgram,2,8,2,9.320384272360893e-16
