m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,cbow,1000.0,0.8340033718065102,0.8203033838973163
1,2,2,skipgram,0.01,0.7717546362339515,0.7736289381563594
1,2,2,SVD,297.63514416313194,0.849695240565426,0.8751458576429405
1,2,4,cbow,297.63514416313194,0.800597169933792,0.8014018691588785
1,2,4,skipgram,1000.0,0.8068285083733611,0.8107476635514018
1,2,4,SVD,2.3357214690901213,0.8670647799558614,0.8481308411214953
1,2,6,cbow,7.847599703514606,0.8166319625195211,0.8430913348946136
1,2,6,skipgram,0.01,0.840447683498178,0.8360655737704918
1,2,6,SVD,2.3357214690901213,0.8731935945840386,0.882903981264637
1,2,8,cbow,14.38449888287663,0.8304796758593648,0.8343125734430082
1,2,8,skipgram,162.3776739188721,0.8110050973728924,0.8237367802585194
1,2,8,SVD,48.32930238571752,0.8745262057247418,0.881316098707403
1,2,10,cbow,545.5594781168514,0.8367346938775511,0.8402860548271752
1,2,10,skipgram,545.5594781168514,0.7898224224754837,0.7902264600715138
1,2,10,SVD,4.281332398719392,0.87735348713869,0.8818615751789977
1,3,2,cbow,1.2742749857031337,0.8553826199740596,0.8646441073512252
1,3,2,skipgram,88.58667904100822,0.8202334630350194,0.8273045507584598
1,3,2,SVD,88.58667904100822,0.8487678339818417,0.8693115519253208
1,3,4,cbow,545.5594781168514,0.8430074016361512,0.8329439252336449
1,3,4,skipgram,1000.0,0.8361251785482405,0.8551401869158879
1,3,4,SVD,7.847599703514606,0.8731333593039865,0.8633177570093458
1,3,6,cbow,14.38449888287663,0.8370669445168013,0.8629976580796253
1,3,6,skipgram,297.63514416313194,0.8215681166970565,0.84192037470726
1,3,6,SVD,7.847599703514606,0.871450898671529,0.8957845433255269
1,3,8,cbow,14.38449888287663,0.8477635364896678,0.8482352941176471
1,3,8,skipgram,1000.0,0.8172900863196443,0.8141176470588235
1,3,8,SVD,7.847599703514606,0.8750654107796965,0.8788235294117647
1,3,10,cbow,162.3776739188721,0.856259863229879,0.8579881656804734
1,3,10,skipgram,297.63514416313194,0.8274592319831667,0.8153846153846154
1,3,10,SVD,26.366508987303583,0.8737174427782163,0.8887573964497042
1,4,2,cbow,1000.0,0.8749675745784695,0.8798133022170361
1,4,2,skipgram,1000.0,0.8164721141374838,0.8284714119019837
1,4,2,SVD,48.32930238571752,0.8486381322957198,0.8658109684947491
1,4,4,cbow,88.58667904100822,0.840758540070139,0.8364485981308412
1,4,4,skipgram,1000.0,0.8159501233926484,0.8095794392523364
1,4,4,SVD,0.0615848211066026,0.858869395711501,0.8598130841121495
