m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,SVD,2.154434690031882,0.8022350828178009,0.8150807899461401
1,2,2,skipgram,1000.0,0.7319896228297745,0.7235188509874326
1,2,2,cbow,0.4641588833612777,0.7715026940730393,0.7845601436265709
1,2,4,SVD,2.154434690031882,0.8269038576853888,0.7949640287769785
1,2,4,skipgram,1000.0,0.7477513491904857,0.75
1,2,4,cbow,215.44346900318823,0.7151708974615231,0.7194244604316546
1,2,6,SVD,46.41588833612773,0.8337683196145352,0.8285198555956679
1,2,6,skipgram,0.001,0.776685393258427,0.8158844765342961
1,2,6,cbow,0.001,0.7471910112359551,0.7725631768953068
1,2,8,SVD,46.41588833612773,0.8321551201777418,0.8348457350272233
1,2,8,skipgram,1000.0,0.7343970914966673,0.7495462794918331
1,2,8,cbow,0.0046415888336127,0.7626742072308624,0.7767695099818511
1,2,10,SVD,46.41588833612773,0.8333333333333334,0.8141263940520446
1,2,10,skipgram,1000.0,0.7030540652084193,0.7068645640074211
1,2,10,cbow,0.0046415888336127,0.7647544366487825,0.7847866419294991
1,3,2,SVD,0.4641588833612777,0.7872255489021956,0.7450628366247756
1,3,2,skipgram,1000.0,0.7572854291417166,0.7342908438061041
1,3,2,cbow,10.0,0.8069860279441118,0.77737881508079
1,3,4,SVD,2.154434690031882,0.8120375924815036,0.7985611510791367
1,3,4,skipgram,1000.0,0.7650469906018796,0.7661870503597122
1,3,4,cbow,215.44346900318823,0.7616476704659069,0.7769784172661871
1,3,6,SVD,0.4641588833612777,0.8228204098031338,0.8068592057761733
1,3,6,skipgram,1000.0,0.7446765769385295,0.7292418772563177
1,3,6,cbow,0.0046415888336127,0.7655685014061873,0.7653429602888087
1,3,8,SVD,0.0215443469003188,0.827467637540453,0.8290909090909091
1,3,8,skipgram,1000.0,0.7306914678528104,0.7163636363636363
1,3,8,cbow,0.0046415888336127,0.7757784067933684,0.7654545454545455
1,3,10,SVD,0.0215443469003188,0.8294573643410853,0.818348623853211
1,3,10,skipgram,1000.0,0.7408238172920065,0.7137614678899082
1,3,10,cbow,215.44346900318823,0.7801794453507341,0.8073394495412844
1,4,2,SVD,0.1,0.7784431137724551,0.7396768402154399
1,4,2,skipgram,46.41588833612773,0.7407185628742515,0.7289048473967684
1,4,2,cbow,0.4641588833612777,0.8207584830339322,0.7863554757630161
1,4,4,SVD,0.4641588833612777,0.8064064064064064,0.7859712230215827
1,4,4,skipgram,46.41588833612773,0.7309461892378476,0.6726618705035972
1,4,4,cbow,0.0046415888336127,0.7669533906781356,0.7571942446043165
1,4,6,SVD,0.0215443469003188,0.8109032387849527,0.8282097649186256
1,4,6,skipgram,215.44346900318823,0.7225910279621807,0.7142857142857143
1,4,6,cbow,0.0046415888336127,0.7783142224904446,0.7757685352622061
1,4,8,SVD,0.1,0.8217541016811829,0.8306010928961749
1,4,8,skipgram,215.44346900318823,0.7024291497975709,0.7213114754098361
1,4,8,cbow,46.41588833612773,0.7791497975708502,0.7832422586520947
1,4,10,SVD,0.4641588833612777,0.8304738562091504,0.8088235294117647
1,4,10,skipgram,1000.0,0.7314133986928104,0.726605504587156
1,4,10,cbow,2.154434690031882,0.7892156862745098,0.7706422018348624
1,5,2,SVD,0.0046415888336127,0.7817492012779552,0.7289048473967684
1,5,2,skipgram,46.41588833612773,0.7671725239616614,0.7648114901256733
1,5,2,cbow,0.1,0.8248801916932907,0.8366247755834829
1,5,4,SVD,0.0046415888336127,0.8020457280385078,0.8072072072072072
1,5,4,skipgram,1000.0,0.7350581628559968,0.7387387387387387
1,5,4,cbow,10.0,0.7996389891696751,0.8036036036036036
1,5,6,SVD,0.1,0.8249192245557351,0.8039927404718693
1,5,6,skipgram,46.41588833612773,0.7228502220427937,0.73502722323049
1,5,6,cbow,46.41588833612773,0.7904723455793299,0.809437386569873
1,5,8,SVD,2.154434690031882,0.8227180527383368,0.8302919708029197
1,5,8,skipgram,1000.0,0.735198702351987,0.7335766423357665
1,5,8,cbow,0.1,0.7960259529602596,0.781021897810219
1,5,10,SVD,10.0,0.8243962341383545,0.8195211786372008
1,5,10,skipgram,215.44346900318823,0.7630448127685697,0.7352941176470589
1,5,10,cbow,2.154434690031882,0.7943523634131369,0.8106617647058824
1,6,2,SVD,0.001,0.7805316809914051,0.7589928057553957
1,6,2,skipgram,215.44346900318823,0.755892928485817,0.7414721723518851
1,6,2,cbow,0.1,0.823611666000799,0.8366247755834829
1,6,4,SVD,0.4641588833612777,0.8118971061093248,0.8047016274864376
1,6,4,skipgram,215.44346900318823,0.7405546623794212,0.7269439421338155
1,6,4,cbow,0.1,0.8122990353697749,0.8245931283905967
1,6,6,SVD,2.154434690031882,0.8142452448401457,0.8381818181818181
1,6,6,skipgram,1000.0,0.7488372093023256,0.7581818181818182
1,6,6,cbow,0.1,0.8028311425682507,0.7763636363636364
1,6,8,SVD,10.0,0.8130461288356026,0.8446069469835467
1,6,8,skipgram,1000.0,0.7616822429906542,0.7879341864716636
1,6,8,cbow,0.4641588833612777,0.7996749288906948,0.8098720292504571
1,6,10,SVD,10.0,0.8175661809973322,0.8284132841328413
1,6,10,skipgram,215.44346900318823,0.7856849876948319,0.7952029520295203
1,6,10,cbow,10.0,0.8074241181296145,0.8025830258302583
1,7,2,SVD,0.001,0.7743291950340409,0.7855855855855856
1,7,2,skipgram,215.44346900318823,0.7703243892671205,0.7873873873873873
1,7,2,cbow,10.0,0.8338005606728074,0.8342342342342343
1,7,4,SVD,0.1,0.8081500907807141,0.7858439201451906
1,7,4,skipgram,46.41588833612773,0.7346239161121194,0.7422867513611615
1,7,4,cbow,2.154434690031882,0.8066142367412785,0.8366606170598911
1,7,6,SVD,0.1,0.8123226591001216,0.7832422586520947
1,7,6,skipgram,215.44346900318823,0.755064829821718,0.7540983606557377
1,7,6,cbow,215.44346900318823,0.8020664505672609,0.7941712204007286
1,7,8,SVD,0.1,0.8164595640660012,0.7783882783882784
1,7,8,skipgram,46.41588833612773,0.7992262268377113,0.7783882783882784
1,7,8,cbow,2.154434690031882,0.8079820810425575,0.8113553113553114
1,7,10,SVD,10.0,0.8120115178938708,0.833641404805915
1,7,10,skipgram,10.0,0.8081825657894737,0.7726432532347505
1,7,10,cbow,46.41588833612773,0.8092105263157895,0.8354898336414048
1,8,2,SVD,0.0046415888336127,0.7772426249247442,0.7436823104693141
1,8,2,skipgram,10.0,0.75316074653823,0.7689530685920578
1,8,2,cbow,0.4641588833612777,0.8175797712221553,0.8176895306859205
1,8,4,SVD,0.4641588833612777,0.802910855063675,0.7927272727272727
1,8,4,skipgram,215.44346900318823,0.7282828282828283,0.7236363636363636
1,8,4,cbow,2.154434690031882,0.7858585858585858,0.7909090909090909
1,8,6,SVD,10.0,0.8062944162436548,0.8065693430656934
1,8,6,skipgram,46.41588833612773,0.7576126674786845,0.7390510948905109
1,8,6,cbow,0.1,0.7848152659358506,0.7591240875912408
1,8,8,SVD,2.154434690031882,0.8108660130718954,0.8014705882352942
1,8,8,skipgram,1000.0,0.7942017149857085,0.7871559633027523
1,8,8,cbow,2.154434690031882,0.8013474887709269,0.8275229357798165
