m,n,k,emb_type,best_C,train_acc,test_acc
1,2,2,SVD,10.0,0.9762962962962964,0.97
1,2,2,skipgram,10.0,0.976851851851852,0.9783333333333334
1,2,2,cbow,215.44346900318823,0.9925925925925926,0.9933333333333332
1,2,4,SVD,0.0215443469003188,0.9749953695128728,0.9766666666666668
1,2,4,skipgram,215.44346900318823,0.9792554176699388,0.9833333333333332
1,2,4,cbow,10.0,0.9833302463419152,0.9883333333333332
1,2,6,SVD,0.0215443469003188,0.9759125440059292,0.9716666666666668
1,2,6,skipgram,2.154434690031882,0.979988882712618,0.98
1,2,6,cbow,46.41588833612773,0.9842505095423384,0.9816666666666668
1,2,8,SVD,0.0215443469003188,0.9779466271312084,0.9766666666666668
1,2,8,skipgram,46.41588833612773,0.9814677538917717,0.9816666666666668
1,2,8,cbow,1000.0,0.984247590808006,0.9883333333333332
1,2,10,SVD,2.154434690031882,0.98330550918197,0.985
1,2,10,skipgram,215.44346900318823,0.9816360601001668,0.9733333333333334
1,2,10,cbow,215.44346900318823,0.9877573734001112,0.985
1,3,2,SVD,1000.0,0.9877755139840712,0.995
1,3,2,skipgram,215.44346900318823,0.989998147805149,0.995
1,3,2,cbow,10.0,0.9953695128727542,0.9983333333333332
1,3,4,SVD,10.0,0.9916651231709576,0.9966666666666668
1,3,4,skipgram,10.0,0.991294684200778,0.99
1,3,4,cbow,46.41588833612773,0.9962956102982032,0.995
1,3,6,SVD,0.4641588833612777,0.9844329132690882,0.9883333333333332
1,3,6,skipgram,215.44346900318823,0.989621942179392,0.99
1,3,6,cbow,10.0,0.9964788732394366,0.9983333333333332
1,3,8,SVD,0.1,0.9812685459940652,0.9866666666666668
1,3,8,skipgram,215.44346900318823,0.98905989245318,0.9883333333333332
1,3,8,cbow,46.41588833612773,0.9974040422770256,0.995
1,3,10,SVD,46.41588833612773,0.9773612915197624,0.986644407345576
1,3,10,skipgram,46.41588833612773,0.9873817034700316,0.9849749582637728
1,3,10,cbow,46.41588833612773,0.998515494525886,0.996661101836394
1,4,2,SVD,10.0,0.9968512687534729,0.9983333333333332
1,4,2,skipgram,46.41588833612773,0.9831450268568254,0.99
1,4,2,cbow,10.0,0.9983330246341916,1.0
1,4,4,SVD,0.0215443469003188,0.9740644683216004,0.985
1,4,4,skipgram,2.154434690031882,0.981104112634309,0.9866666666666668
1,4,4,cbow,2.154434690031882,0.99481289366432,0.9983333333333332
1,4,6,SVD,0.0215443469003188,0.946997776130467,0.945
1,4,6,skipgram,1000.0,0.992772424017791,0.9883333333333332
1,4,6,cbow,10.0,0.996108228317272,0.9933333333333332
1,4,8,SVD,2.154434690031882,0.9469486180671488,0.95
1,4,8,skipgram,1000.0,0.9907252828788722,0.9866666666666668
1,4,8,cbow,1000.0,0.998330550918197,0.9933333333333332
1,4,10,SVD,10.0,0.9643454038997216,0.9682804674457428
1,4,10,skipgram,215.44346900318823,0.982544103992572,0.98330550918197
1,4,10,cbow,215.44346900318823,0.9962859795728876,0.998330550918197
1,5,2,SVD,215.44346900318823,0.9925912205964068,0.995
1,5,2,skipgram,215.44346900318823,0.9814780514910167,0.9866666666666668
1,5,2,cbow,46.41588833612773,0.9968512687534729,0.9983333333333332
1,5,4,SVD,0.4641588833612777,0.913639733135656,0.9183333333333332
1,5,4,skipgram,1000.0,0.9838769458858414,0.9816666666666668
1,5,4,cbow,46.41588833612773,0.9964788732394366,0.9983333333333332
1,5,6,SVD,10.0,0.9356454005934718,0.9183333333333332
1,5,6,skipgram,215.44346900318823,0.9855368069720007,0.98
1,5,6,cbow,215.44346900318823,0.9949935101056926,0.99
1,5,8,SVD,46.41588833612773,0.953980330302468,0.9515859766277128
1,5,8,skipgram,1000.0,0.9792169233624048,0.976627712854758
1,5,8,cbow,215.44346900318823,0.9897940248654666,0.9849749582637728
1,5,10,SVD,215.44346900318823,0.948532144184318,0.9498327759197324
1,5,10,skipgram,46.41588833612773,0.9780750650315868,0.9749163879598662
1,5,10,cbow,215.44346900318823,0.9858788554440728,0.9899665551839464
1,6,2,SVD,10.0,0.9875879955539087,0.9883333333333332
1,6,2,skipgram,10.0,0.9838829195998516,0.9883333333333332
1,6,2,cbow,10.0,0.9957391626528344,1.0
1,6,4,SVD,46.41588833612773,0.8993699036323203,0.905
1,6,4,skipgram,215.44346900318823,0.9833209785025944,0.9783333333333334
1,6,4,cbow,1000.0,0.99351371386212,0.9983333333333332
1,6,6,SVD,10.0,0.9213503988128362,0.915
1,6,6,skipgram,215.44346900318823,0.9755147468002224,0.9733333333333334
1,6,6,cbow,2.154434690031882,0.9792246336486736,0.975
1,6,8,SVD,46.41588833612773,0.9357474466109564,0.9449081803005008
1,6,8,skipgram,215.44346900318823,0.9793871866295264,0.9716193656093488
1,6,8,cbow,2.154434690031882,0.9715877437325904,0.976627712854758
1,6,10,SVD,10.0,0.929501488095238,0.9448160535117056
1,6,10,skipgram,215.44346900318823,0.9840059512739444,0.9866220735785952
1,6,10,cbow,46.41588833612773,0.9817742235447277,0.9782608695652174
1,7,2,SVD,2.154434690031882,0.9675685693106004,0.9716666666666668
1,7,2,skipgram,215.44346900318823,0.9851742031134172,0.985
1,7,2,cbow,46.41588833612773,0.9964788732394366,0.9966666666666668
1,7,4,SVD,46.41588833612773,0.8557121661721068,0.84
1,7,4,skipgram,215.44346900318823,0.978490636009642,0.9766666666666668
1,7,4,cbow,46.41588833612773,0.9868347858334878,0.985
1,7,6,SVD,10.0,0.9061050287622936,0.9198664440734556
1,7,6,skipgram,46.41588833612773,0.9703098905177212,0.9649415692821368
1,7,6,cbow,46.41588833612773,0.9656708109111152,0.9682804674457428
1,7,8,SVD,2.154434690031882,0.9199182460052026,0.9247491638795988
1,7,8,skipgram,46.41588833612773,0.9782608695652174,0.9749163879598662
1,7,8,cbow,46.41588833612773,0.9741731698253436,0.968227424749164
1,7,10,SVD,46.41588833612773,0.9236925367578632,0.9297658862876256
1,7,10,skipgram,10.0,0.983249581239531,0.9782608695652174
1,7,10,cbow,46.41588833612773,0.9826912339475152,0.979933110367893
1,8,2,SVD,2.154434690031882,0.9379169755374352,0.9383333333333334
1,8,2,skipgram,10.0,0.9857301704966642,0.9833333333333332
1,8,2,cbow,1000.0,0.9953669384729428,0.995
1,8,4,SVD,2.154434690031882,0.8356520126136153,0.8333333333333334
1,8,4,skipgram,10.0,0.9734743090335743,0.96
1,8,4,cbow,215.44346900318823,0.9814505657577444,0.985
1,8,6,SVD,1000.0,0.9090064995357474,0.8881469115191987
1,8,6,skipgram,1000.0,0.968987929433612,0.9682804674457428
1,8,6,cbow,10.0,0.9680594243268338,0.9682804674457428
1,8,8,SVD,10.0,0.9123883928571428,0.9180602006688964
1,8,8,skipgram,1000.0,0.9760089269109168,0.9732441471571908
1,8,8,cbow,2.154434690031882,0.9769388134647572,0.9866220735785952
1,8,10,SVD,1000.0,0.9139344262295082,0.916247906197655
1,8,10,skipgram,1000.0,0.9819333209163718,0.9715242881072028
1,8,10,cbow,10.0,0.9854721549636803,0.9865996649916248
1,9,2,SVD,2.154434690031882,0.8879821958456974,0.8866666666666667
1,9,2,skipgram,46.41588833612773,0.9857222325236418,0.985
1,9,2,cbow,215.44346900318823,0.9972186167253848,1.0
1,9,4,SVD,215.44346900318823,0.8465392466134719,0.8497495826377296
1,9,4,skipgram,215.44346900318823,0.9665986268324364,0.96661101836394
1,9,4,cbow,0.4641588833612777,0.9766190387827056,0.979966611018364
1,9,6,SVD,46.41588833612773,0.908955778520996,0.903010033444816
1,9,6,skipgram,215.44346900318823,0.9695280564845782,0.9715719063545152
1,9,6,cbow,10.0,0.9738015607580826,0.968227424749164
1,9,8,SVD,1000.0,0.9091755071654568,0.911371237458194
1,9,8,skipgram,10.0,0.9769216452633538,0.9715719063545152
1,9,8,cbow,215.44346900318823,0.9810161920714684,0.9816053511705686
1,9,10,SVD,2.154434690031882,0.9101416853094706,0.897822445561139
1,9,10,skipgram,10.0,0.9804250559284116,0.9798994974874372
1,9,10,cbow,46.41588833612773,0.9893736017897092,0.9899497487437184
1,10,2,SVD,0.4641588833612777,0.8525319977740679,0.8516666666666667
1,10,2,skipgram,46.41588833612773,0.986644407345576,0.98
1,10,2,cbow,215.44346900318823,0.9975885735485068,0.9983333333333332
1,10,4,SVD,46.41588833612773,0.8779944289693593,0.8814691151919867
1,10,4,skipgram,46.41588833612773,0.9637883008356546,0.963272120200334
1,10,4,cbow,0.0215443469003188,0.977158774373259,0.979966611018364
1,10,6,SVD,46.41588833612773,0.9086681547619048,0.919732441471572
1,10,6,skipgram,215.44346900318823,0.970243630277106,0.9715719063545152
1,10,6,cbow,10.0,0.9758229496001488,0.9816053511705686
1,10,8,SVD,46.41588833612773,0.9087183308494784,0.9128978224455612
1,10,8,skipgram,1000.0,0.9800707766809462,0.9798994974874372
1,10,8,cbow,10.0,0.9832371018811696,0.9798994974874372
1,10,10,SVD,46.41588833612773,0.9066641777114056,0.9312080536912752
1,10,10,skipgram,46.41588833612773,0.9794661190965092,0.9865771812080536
1,10,10,cbow,46.41588833612773,0.9899197311928318,0.9916107382550337
2,2,2,SVD,0.4641588833612777,0.9755555555555556,0.9683333333333334
2,2,2,skipgram,215.44346900318823,0.9948148148148148,0.9916666666666668
2,2,2,cbow,2.154434690031882,0.994074074074074,0.995
2,2,4,SVD,0.0215443469003188,0.9749953695128728,0.9783333333333334
2,2,4,skipgram,215.44346900318823,0.9972217077236524,1.0
2,2,4,cbow,10.0,0.9994443415447304,0.9966666666666668
2,2,6,SVD,0.0215443469003188,0.9770242727441172,0.9766666666666668
2,2,6,skipgram,1000.0,0.9981471187696868,1.0
2,2,6,cbow,1000.0,0.999444135630906,1.0
2,2,8,SVD,46.41588833612773,0.986286137879911,0.9933333333333332
2,2,8,skipgram,1000.0,0.997405485544848,0.9983333333333332
2,2,8,cbow,0.4641588833612777,0.9985174203113416,0.9983333333333332
2,2,10,SVD,46.41588833612773,0.9872008903728436,0.9883333333333332
2,2,10,skipgram,215.44346900318823,0.994991652754591,0.9883333333333332
2,2,10,cbow,0.4641588833612777,0.9985160452606195,0.9966666666666668
2,3,2,SVD,215.44346900318823,0.9948138544174848,0.995
2,3,2,skipgram,46.41588833612773,0.9957399518429338,0.9966666666666668
2,3,2,cbow,0.4641588833612777,1.0,0.9983333333333332
2,3,4,SVD,46.41588833612773,0.997962585664012,0.9983333333333332
2,3,4,skipgram,2.154434690031882,0.9981478051491016,0.995
2,3,4,cbow,46.41588833612773,0.9990739025745508,0.9983333333333332
2,3,6,SVD,2.154434690031882,0.9953669384729428,0.9966666666666668
2,3,6,skipgram,2.154434690031882,0.9968495181616012,0.995
2,3,6,cbow,0.0046415888336127,0.994810971089696,0.995
2,3,8,SVD,0.4641588833612777,0.9910979228486648,0.9966666666666668
2,3,8,skipgram,10.0,0.9966623400704616,0.9916666666666668
2,3,8,cbow,215.44346900318823,0.9816428703875394,0.9783333333333334
2,3,10,SVD,2.154434690031882,0.988495082575617,0.993322203672788
2,3,10,skipgram,215.44346900318823,0.996845425867508,0.993322203672788
2,3,10,cbow,215.44346900318823,0.9790313601781406,0.9749582637729548
2,4,2,SVD,10.0,0.9987034636043712,1.0
2,4,2,skipgram,46.41588833612773,0.9962956102982032,0.9966666666666668
2,4,2,cbow,0.1,0.9987034636043712,0.9966666666666668
2,4,4,SVD,10.0,0.9864764727676918,0.9966666666666668
2,4,4,skipgram,2.154434690031882,0.9935161170804,0.995
2,4,4,cbow,10.0,0.979992589848092,0.99
2,4,6,SVD,0.0215443469003188,0.9731282431430688,0.975
2,4,6,skipgram,215.44346900318823,0.9944403261675316,1.0
2,4,6,cbow,46.41588833612773,0.9823943661971832,0.98
2,4,8,SVD,0.0215443469003188,0.9475051010944168,0.9616666666666668
