emb_type,m,n,k,RMSSTD-lit-gpt-p-val
SVD,1,2,2,0.0
SVD,1,2,4,0.0
SVD,1,2,6,0.0
SVD,1,2,8,0.0
SVD,1,2,10,0.0
SVD,1,3,2,1.2855687244356547e-304
SVD,1,3,4,0.0
SVD,1,3,6,0.0
SVD,1,3,8,0.0
SVD,1,3,10,0.0
SVD,1,4,2,0.0
SVD,1,4,4,0.0
SVD,1,4,6,0.0
SVD,1,4,8,0.0
SVD,1,4,10,0.0
SVD,1,5,2,0.0
SVD,1,5,4,0.0
SVD,1,5,6,0.0
SVD,1,5,8,0.0
SVD,1,5,10,0.0
SVD,1,6,2,0.0
SVD,1,6,4,0.0
SVD,1,6,6,0.0
SVD,1,6,8,0.0
SVD,1,6,10,0.0
SVD,1,7,2,0.0
SVD,1,7,4,0.0
SVD,1,7,6,0.0
SVD,1,7,8,0.0
SVD,1,7,10,0.0
SVD,1,8,2,0.0
SVD,1,8,4,0.0
SVD,1,8,6,0.0
SVD,1,8,8,0.0
SVD,1,8,10,0.0
SVD,1,9,2,0.0
SVD,1,9,4,0.0
SVD,1,9,6,0.0
SVD,1,9,8,0.0
SVD,1,9,10,0.0
SVD,1,10,2,0.0
SVD,1,10,4,0.0
SVD,1,10,6,0.0
SVD,1,10,8,0.0
SVD,1,10,10,0.0
SVD,2,2,2,0.0
SVD,2,2,4,0.0
SVD,2,2,6,0.0
SVD,2,2,8,0.0
SVD,2,2,10,0.0
SVD,2,3,2,0.0
SVD,2,3,4,0.0
SVD,2,3,6,0.0
SVD,2,3,8,0.0
SVD,2,3,10,0.0
SVD,2,4,2,0.0
SVD,2,4,4,0.0
SVD,2,4,6,0.0
SVD,2,4,8,0.0
SVD,2,4,10,0.0
SVD,2,5,2,0.0
SVD,2,5,4,0.0
SVD,2,5,6,0.0
SVD,2,5,8,0.0
SVD,2,5,10,0.0
SVD,2,6,2,0.0
SVD,2,6,4,0.0
SVD,2,6,6,0.0
SVD,2,6,8,0.0
SVD,2,6,10,0.0
SVD,2,7,2,0.0
SVD,2,7,4,0.0
SVD,2,7,6,0.0
SVD,2,7,8,0.0
SVD,2,7,10,0.0
SVD,2,8,2,0.0
SVD,2,8,4,0.0
SVD,2,8,6,0.0
SVD,2,8,8,0.0
SVD,2,8,10,0.0
SVD,2,9,2,0.0
SVD,2,9,4,0.0
SVD,2,9,6,0.0
SVD,2,9,8,0.0
SVD,2,9,10,0.0
SVD,2,10,2,0.0
SVD,2,10,4,0.0
SVD,2,10,6,0.0
SVD,2,10,8,0.0
SVD,2,10,10,0.0
SVD,3,2,2,2.3188493753570956e-296
