emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
SVD,1,2,46.41588833612782,0.8305004721435316,0.8516949152542372,0.7687739334303259,0.8045770157106126
skipgram,1,2,3.593813663804626,0.9367720465890182,0.9552238805970148,0.9120045491631322,0.938353427106843
cbow,1,2,599.4842503189421,0.5280088740987243,0.4975124378109453,0.3976882331119851,0.3500976963367979
SVD,1,3,7742.636826811277,0.8314447592067988,0.8389830508474576,0.7711037293275051,0.7969086535367306
skipgram,1,3,46.41588833612782,0.93732667775929,0.965174129353234,0.9125596865887334,0.9484061175603463
cbow,1,3,100000.0,0.764281752634498,0.835820895522388,0.7398259914892562,0.8175157965447026
SVD,1,4,0.0215443469003188,0.8101983002832861,0.8177966101694916,0.7450843108961142,0.7597648304212481
skipgram,1,4,0.2782559402207126,0.9118136439267888,0.9402985074626866,0.8870593792931025,0.9235058250339668
cbow,1,4,46.41588833612782,0.8447032723239046,0.8855721393034826,0.8194855387550013,0.8688697507353212
SVD,1,5,46.41588833612782,0.7549575070821529,0.7754237288135594,0.6951070327607614,0.7346464112617429
skipgram,1,5,0.2782559402207126,0.8419301164725458,0.8756218905472637,0.8163807058782099,0.8587974613747107
cbow,1,5,7742.636826811277,0.7975596228508042,0.8308457711442786,0.771971027642715,0.8126484741629326
SVD,1,6,0.0016681005372,0.7110481586402266,0.711864406779661,0.6492471749402972,0.6571387039567403
skipgram,1,6,46.41588833612782,0.7814753189129229,0.8258706467661692,0.7548132577634691,0.8073544411832053
cbow,1,6,599.4842503189421,0.8302828618968386,0.8706467661691543,0.8060671044977809,0.8528528223416613
SVD,1,7,599.4842503189421,0.7247403210576016,0.7330508474576272,0.6644768414004187,0.6792989804532763
skipgram,1,7,599.4842503189421,0.8230726566833056,0.8606965174129353,0.7988090993897785,0.8425314858630475
cbow,1,7,599.4842503189421,0.8696616749861342,0.9054726368159204,0.8449471798347721,0.8883677295892383
SVD,1,8,7742.636826811277,0.771010387157696,0.8008474576271186,0.7066427525817384,0.7432928580937633
skipgram,1,8,7742.636826811277,0.8613422074320577,0.8905472636815921,0.8367592782317599,0.8731507594393975
cbow,1,8,100000.0,0.8874098724348308,0.9253731343283582,0.8626274337809097,0.9084979912745869
SVD,2,2,7742.636826811277,0.8484419263456091,0.8728813559322034,0.7887050549065782,0.8308848794452186
skipgram,2,2,7742.636826811277,0.9284525790349416,0.9402985074626866,0.9043667838879933,0.9234575139561498
cbow,2,2,46.41588833612782,0.6932889628397116,0.6915422885572139,0.6719921469247103,0.6752621645231764
SVD,2,3,0.0016681005372,0.823890462700661,0.826271186440678,0.7588941562864018,0.7681402796219637
skipgram,2,3,100000.0,0.7670549084858569,0.7512437810945274,0.7442866521944326,0.733924874623819
cbow,2,3,7742.636826811277,0.6827509706045479,0.6666666666666666,0.6556550264233917,0.6375429734902293
SVD,2,4,0.0016681005372,0.7370160528800755,0.7457627118644068,0.6727583355780262,0.68929913923152
skipgram,2,4,599.4842503189421,0.7864669994453688,0.8258706467661692,0.7601045003988769,0.8060695881004316
cbow,2,4,46.41588833612782,0.7104825291181365,0.7711442786069652,0.6742018144003699,0.7475427202191786
SVD,2,5,0.0016681005372,0.6841359773371105,0.6864406779661016,0.6237434432184371,0.6329782720350148
skipgram,2,5,599.4842503189421,0.8574597892401553,0.8805970149253731,0.833187873279763,0.8631017323574276
cbow,2,5,599.4842503189421,0.8080976150859678,0.8507462686567164,0.7832057681267001,0.832419047198807
SVD,2,6,100000.0,0.7606232294617564,0.7838983050847458,0.697609385509764,0.7271590477953572
skipgram,2,6,100000.0,0.8851913477537438,0.9104477611940298,0.8604181921908003,0.8934156947875957
cbow,2,6,100000.0,0.8713255684969495,0.9054726368159204,0.8464205235311206,0.8883677295892383
SVD,2,7,100000.0,0.6949952785646837,0.7161016949152542,0.6340740560483358,0.6592948945766589
skipgram,2,7,100000.0,0.7992235163616195,0.8407960199004975,0.7722430187785366,0.8216425277883904
cbow,2,7,100000.0,0.7958957293399889,0.8407960199004975,0.7690013716227337,0.8219528648286147
SVD,2,8,0.0215443469003188,0.6718602455146364,0.6822033898305084,0.6117685607971898,0.6290296036021343
skipgram,2,8,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
cbow,2,8,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
SVD,3,2,0.0016681005372,0.8465533522190746,0.864406779661017,0.7813946299468522,0.8047708725674827
skipgram,3,2,7742.636826811277,0.9107043815862452,0.9104477611940298,0.8862091144971098,0.8941305760144391
