emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
SVD,1,2,0.2782559402207126,0.7444535743631882,0.7573529411764706,0.6417920004454432,0.6527811961604726
skipgram,1,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,3,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6464279201026434,0.6527811961604726
skipgram,1,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,4,0.2782559402207126,0.7460969597370584,0.7573529411764706,0.6482494629556111,0.6527811961604726
skipgram,1,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,5,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6477898528567937,0.6527811961604726
skipgram,1,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,6,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,1,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,7,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,1,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,1,8,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,1,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,1,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,2,46.41588833612782,0.7444535743631882,0.7573529411764706,0.6445974648116425,0.6527811961604726
skipgram,2,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,3,0.2782559402207126,0.7460969597370584,0.7573529411764706,0.6468830116617282,0.6527811961604726
skipgram,2,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,4,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,2,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,5,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,2,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,6,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6477898528567937,0.6527811961604726
skipgram,2,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,7,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,2,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,2,8,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,2,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,2,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,2,0.2782559402207126,0.7485620377978636,0.7720588235294118,0.6612739309132132,0.686020990674751
skipgram,3,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,3,3.593813663804626,0.7460969597370584,0.7573529411764706,0.6535409017819839,0.6527811961604726
skipgram,3,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,4,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,3,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,5,3.593813663804626,0.7460969597370584,0.7573529411764706,0.6482494629556111,0.6527811961604726
skipgram,3,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,6,3.593813663804626,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,3,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,7,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
