emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
SVD,1,2,3.593813663804626,0.9772348695169352,0.9751243781094528,0.9772300822030671,0.9751021329747418
skipgram,1,2,3.593813663804626,0.9877336448598132,0.9947643979057592,0.9877263882831783,0.9947614957677396
cbow,1,2,599.4842503189421,0.548481308411215,0.5445026178010471,0.43254838610707463,0.441947095717565
SVD,1,3,3.593813663804626,0.9783453636868408,0.9701492537313432,0.9783344222686629,0.9701359512597441
skipgram,1,3,46.41588833612782,0.9894859813084113,0.9947643979057592,0.9894788491160058,0.9947643979057592
cbow,1,3,100000.0,0.804322429906542,0.837696335078534,0.8005923365626119,0.8347038366471825
SVD,1,4,0.0215443469003188,0.957245974458634,0.9601990049751244,0.9571625765052153,0.9601753561367259
skipgram,1,4,0.2782559402207126,0.963785046728972,0.9738219895287958,0.9636661085604377,0.973807631645636
cbow,1,4,46.41588833612782,0.8919392523364486,0.9109947643979056,0.8901736063285983,0.910326457314848
SVD,1,5,46.41588833612782,0.8900610771793448,0.8955223880597015,0.8886812070498125,0.894647945971971
skipgram,1,5,46.41588833612782,0.8907710280373832,0.8952879581151832,0.8887736227021374,0.894186336412076
cbow,1,5,7742.636826811277,0.8434579439252337,0.8167539267015707,0.8381392293219155,0.8105808813448789
SVD,1,6,0.0016681005372,0.8373126041088285,0.8109452736318408,0.8328099729459226,0.8049146817803534
skipgram,1,6,599.4842503189421,0.8276869158878505,0.8272251308900523,0.8206136021813547,0.8220794541046473
cbow,1,6,7742.636826811277,0.8837616822429907,0.8586387434554974,0.8813967410049566,0.8558671863519017
SVD,1,7,599.4842503189421,0.8784008883953359,0.8557213930348259,0.8765329359559086,0.8531999138019881
skipgram,1,7,599.4842503189421,0.8755841121495327,0.8638743455497382,0.8727824556739006,0.8614066504528878
cbow,1,7,599.4842503189421,0.9246495327102804,0.9319371727748692,0.9239226041967481,0.9316449692069598
SVD,1,8,100000.0,0.9183786785119378,0.8955223880597015,0.9178123849220575,0.894647945971971
