emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.001,0.5911884716698518,0.5701672862453532
cbow,1,2,0.001,0.5889548387096775,0.5861588481189038
SVD,1,3,0.001,0.5911884716698518,0.5701672862453532
cbow,1,3,2.154434690031882,0.785341935483871,0.7830933581049698
skipgram,1,3,215.44346900318823,0.8684387096774193,0.8657686948444031
SVD,1,4,1000.0,0.8454108775373173,0.8526951672862454
cbow,1,4,1000.0,0.9286709677419356,0.931723176962378
skipgram,1,4,1000.0,0.9393548387096774,0.9465861588481188
SVD,1,5,46.41588833612773,0.9329580083673364,0.933085501858736
cbow,1,5,215.44346900318823,0.9506064516129032,0.9540176497909894
skipgram,1,5,1000.0,0.9527225806451612,0.954946586158848
SVD,1,6,0.001,0.9525850937451578,0.9544609665427508
cbow,1,6,0.4641588833612777,0.957367741935484,0.959591267998142
skipgram,1,6,0.4641588833612777,0.957883870967742,0.9600557361820716
SVD,1,7,1000.0,0.9838334796756366,0.9842007434944238
cbow,1,7,1000.0,0.989832258064516,0.9911751045053414
skipgram,1,7,1000.0,0.9904,0.990710636321412
SVD,1,8,1000.0,0.9875522958524868,0.9860594795539034
cbow,1,8,1000.0,0.991225806451613,0.9921040408732
skipgram,1,8,1000.0,0.990967741935484,0.9921040408732
SVD,1,9,1000.0,0.9825938742833532,0.9818773234200744
cbow,1,9,1000.0,0.983225806451613,0.9842080817464004
skipgram,1,9,1000.0,0.9831225806451612,0.983743613562471
SVD,1,10,1000.0,0.9705077217085896,0.967007434944238
cbow,1,10,1000.0,0.9702193548387096,0.969809568044589
skipgram,1,10,1000.0,0.9702193548387096,0.969809568044589
SVD,1,11,0.001,0.9616755332885698,0.9609665427509294
cbow,1,11,0.001,0.9609806451612904,0.9633070134695774
skipgram,1,11,0.001,0.9609806451612904,0.9633070134695774
SVD,1,12,0.001,0.9646195960952432,0.9637546468401488
cbow,1,12,0.001,0.9638193548387096,0.9665582907570832
