emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,1000.0,0.5485989894350023,0.538238941711451
cbow,1,2,10.0,0.5490682089415221,0.5187938868236266
skipgram,1,2,1000.0,0.5906086477554393,0.5753820735233375
cbow,1,3,46.41588833612773,0.7080694023684936,0.7034283353985956
skipgram,1,3,1000.0,0.7941797484623152,0.8046261875258158
SVD,1,4,46.41588833612773,0.7672944418925126,0.7668458040512609
cbow,1,4,1000.0,0.8355365831267787,0.835605121850475
skipgram,1,4,1000.0,0.8482052694390894,0.8541924824452706
SVD,1,5,46.41588833612773,0.8360128617363344,0.836709384042993
cbow,1,5,215.44346900318823,0.8512806389424401,0.8550185873605948
skipgram,1,5,215.44346900318823,0.8558248416414211,0.8574969021065675
SVD,1,6,0.4641588833612777,0.8584290307762976,0.8569656883009508
cbow,1,6,0.4641588833612777,0.8616542733865785,0.862453531598513
skipgram,1,6,2.154434690031882,0.8617460754613054,0.8632796365138372
SVD,1,7,1000.0,0.8631143775838309,0.8627532038032245
cbow,1,7,1000.0,0.8685853300284586,0.8694754233787692
skipgram,1,7,1000.0,0.8684017258790049,0.8686493184634448
SVD,1,8,1000.0,0.8753330271015158,0.8730880529144275
cbow,1,8,1000.0,0.8797392821077756,0.8760842627013631
skipgram,1,8,1000.0,0.8785458551363261,0.8901280462618752
SVD,1,9,1000.0,0.8717960496095545,0.861099627945432
cbow,1,9,1000.0,0.8707426787845405,0.8703015282940934
skipgram,1,9,1000.0,0.8701000642614523,0.8764973151590252
SVD,1,10,1000.0,0.8581993569131833,0.8515915667631253
cbow,1,10,1000.0,0.8577526852106858,0.8579099545642297
skipgram,1,10,1000.0,0.8582575966216837,0.8533663775299463
SVD,1,11,0.001,0.8501148369315572,0.854071930549814
cbow,1,11,0.001,0.8503167171578078,0.8558446922759191
skipgram,1,11,0.001,0.8502249150830808,0.8550185873605948
SVD,1,12,0.001,0.8531465319246669,0.8569656883009508
cbow,1,12,0.001,0.8535297897732489,0.8546055349029327
skipgram,1,12,0.001,0.8533002845864317,0.8566707971912433
SVD,1,13,0.001,0.855718879191548,0.8602728400165358
cbow,1,13,0.001,0.8544019094831543,0.8727798430400661
skipgram,1,13,0.001,0.8561002478656018,0.8579099545642297
SVD,1,14,0.001,0.8588883785025264,0.8635799917321207
cbow,1,14,0.001,0.8602313412283118,0.8546055349029327
skipgram,1,14,0.001,0.8595428256678601,0.8612143742255266
SVD,1,15,0.0046415888336127,0.8453376205787781,0.8507647788342291
cbow,1,15,0.0046415888336127,0.8471495455797301,0.8351920693928129
skipgram,1,15,0.0046415888336127,0.8453594051225558,0.85212722015696
SVD,1,16,0.0046415888336127,0.84648598989435,0.8507647788342291
cbow,1,16,0.0046415888336127,0.8466905352060956,0.8496489054109871
skipgram,1,16,0.0046415888336127,0.8463233269071881,0.8525402726146221
SVD,1,17,0.0046415888336127,0.8474506201194304,0.8515915667631253
cbow,1,17,0.0046415888336127,0.8472872486918205,0.8550185873605948
skipgram,1,17,0.0046415888336127,0.847241347654457,0.8533663775299463
SVD,1,18,0.0046415888336127,0.8483233807992651,0.8528317486564696
