emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,1000.0,0.8573910525553786,0.8592833876221498
cbow,1,2,1000.0,0.8579183555298205,0.8743489583333334
skipgram,1,2,46.41588833612773,0.8776056745801969,0.87890625
SVD,1,3,2.154434690031882,0.8592008107716809,0.8560260586319218
cbow,1,3,215.44346900318823,0.8590764331210191,0.8671875
SVD,1,4,0.4641588833612777,0.8531924134935572,0.8553745928338762
cbow,1,4,0.1,0.8537203242617255,0.857421875
skipgram,1,4,46.41588833612773,0.8584250144759699,0.8515625
SVD,1,5,2.154434690031882,0.843492109454177,0.8469055374592834
cbow,1,5,46.41588833612773,0.8424290677475391,0.8450520833333334
skipgram,1,5,46.41588833612773,0.845830920671685,0.8463541666666666
SVD,1,6,0.4641588833612777,0.8405241059794412,0.8410423452768729
cbow,1,6,2.154434690031882,0.8401852924145917,0.8444010416666666
skipgram,1,6,0.4641588833612777,0.839968152866242,0.84375
SVD,1,7,0.1,0.8391486897350514,0.8410423452768729
cbow,1,7,0.1,0.8390272148233932,0.8385416666666666
skipgram,1,7,0.1,0.8388824551244933,0.8424479166666666
SVD,1,8,215.44346900318823,0.8369769798754886,0.8403908794788274
cbow,1,8,2.154434690031882,0.8371453387376955,0.8365885416666666
skipgram,1,8,0.4641588833612777,0.8380138969310944,0.8287760416666666
SVD,1,9,2.154434690031882,0.8345157087013175,0.8397394136807818
cbow,1,9,0.1,0.8352634626519977,0.837890625
skipgram,1,9,2.154434690031882,0.8355529820497973,0.8326822916666666
SVD,1,10,10.0,0.8332850731142319,0.8390879478827361
cbow,1,10,46.41588833612773,0.8351910828025477,0.828125
skipgram,1,10,10.0,0.834973943254198,0.8346354166666666
SVD,1,11,0.0215443469003188,0.8319820471984943,0.8351791530944626
cbow,1,11,10.0,0.8313549507817024,0.8489583333333334
skipgram,1,11,2.154434690031882,0.8330196873190504,0.8307291666666666
SVD,1,12,0.0215443469003188,0.8316200955552339,0.8345276872964169
cbow,1,12,0.0215443469003188,0.8325854082223509,0.826171875
skipgram,1,12,0.0215443469003188,0.8320063694267515,0.8313802083333334
SVD,1,13,0.0215443469003188,0.8306066309541046,0.8338762214983714
cbow,1,13,0.0215443469003188,0.8295454545454546,0.8463541666666666
skipgram,1,13,0.0215443469003188,0.8314273306311523,0.8294270833333334
SVD,1,14,0.1,0.8295931663529752,0.8345276872964169
cbow,1,14,0.1,0.829183555298205,0.8287760416666666
skipgram,1,14,0.1,0.8294006948465548,0.8268229166666666
SVD,1,15,0.1,0.8283625307658897,0.8351791530944626
cbow,1,15,0.1,0.8293283149971048,0.8268229166666666
skipgram,1,15,0.1,0.8293283149971048,0.8268229166666666
SVD,1,16,0.1,0.8280729694512813,0.8345276872964169
cbow,1,16,0.1,0.8290387955993052,0.826171875
skipgram,1,16,0.1,0.8290387955993052,0.826171875
SVD,1,17,0.1,0.8266251628782395,0.8306188925081434
cbow,1,17,0.1,0.8277359583092068,0.8229166666666666
skipgram,1,17,0.1,0.8277359583092068,0.8229166666666666
SVD,1,18,0.1,0.826263211234979,0.8306188925081434
cbow,1,18,0.4641588833612777,0.8273016792125072,0.8235677083333334
skipgram,1,18,0.4641588833612777,0.8273016792125072,0.8235677083333334
SVD,1,19,0.4641588833612777,0.8257564789344144,0.8319218241042345
cbow,1,19,0.4641588833612777,0.8267950202663579,0.82421875
skipgram,1,19,0.4641588833612777,0.8267950202663579,0.82421875
SVD,1,20,2.154434690031882,0.8256840886057623,0.8306188925081434
cbow,1,20,2.154434690031882,0.8267950202663579,0.8229166666666666
skipgram,1,20,2.154434690031882,0.8267950202663579,0.8229166666666666
SVD,2,2,10.0,0.8479079195019545,0.850814332247557
cbow,2,2,0.4641588833612777,0.879994209612044,0.8756510416666666
skipgram,2,2,46.41588833612773,0.8529965257672264,0.8509114583333334
SVD,2,3,0.4641588833612777,0.8628203272042855,0.860586319218241
cbow,2,3,1000.0,0.8990301100173712,0.890625
skipgram,2,3,215.44346900318823,0.8644325419803127,0.8626302083333334
SVD,2,4,10.0,0.8556536846677284,0.8579804560260587
cbow,2,4,10.0,0.8702229299363057,0.861328125
skipgram,2,4,46.41588833612773,0.8572669368847713,0.853515625
SVD,2,5,0.1,0.839655422035616,0.8403908794788274
cbow,2,5,215.44346900318823,0.8510422698320788,0.8470052083333334
skipgram,2,5,46.41588833612773,0.8482194557035322,0.8444010416666666
SVD,2,6,0.4641588833612777,0.8394382510496597,0.8410423452768729
cbow,2,6,0.4641588833612777,0.8395338737695426,0.8333333333333334
skipgram,2,6,0.4641588833612777,0.8405471916618413,0.8359375
SVD,2,7,10.0,0.8377008831620095,0.8410423452768729
cbow,2,7,10.0,0.8390995946728431,0.833984375
skipgram,2,7,46.41588833612773,0.8388824551244933,0.833984375
SVD,2,8,0.4641588833612777,0.8357463442884031,0.8397394136807818
cbow,2,8,10.0,0.8373624782860452,0.83203125
skipgram,2,8,2.154434690031882,0.8369281991893457,0.8326822916666666
SVD,2,9,0.4641588833612777,0.8348052700159259,0.8384364820846906
cbow,2,9,2.154434690031882,0.8356977417486972,0.8313802083333334
skipgram,2,9,10.0,0.8356977417486972,0.8313802083333334
