emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
cbow,1,2,263.6650898730355,0.6033469018543646,0.5894308943089431,0.46806715670762816,0.4516019525945788
skipgram,1,2,7847.5997035146065,0.5902306648575305,0.5813008130081301,0.45308726192862636,0.44236432502534073
svd,1,2,112.88378916846884,0.9431515206290388,0.9430662871085808,0.6588614960530668,0.627701961543425
cbow,1,3,100000.0,0.649932157394844,0.6544715447154471,0.5871560660435575,0.6015197767866425
skipgram,1,3,3359.818286283781,0.6309362279511533,0.6422764227642277,0.5526249616009827,0.5795172502917175
svd,1,3,0.01,0.9313919052319842,0.9264923532313764,0.2579351959001488,0.2595158906134516
cbow,1,4,42813.32398719387,0.7182270465852555,0.7154471544715447,0.6872429615351983,0.6882164869236268
skipgram,1,4,100000.0,0.7354138398914518,0.7520325203252033,0.7137663304249806,0.7355288154210445
svd,1,4,263.6650898730355,0.7523589851121828,0.7528301886792453,0.5720969237319593,0.5161295321644815
cbow,1,5,100000.0,0.576662143826323,0.5894308943089431,0.5072993719191274,0.5235914353523855
skipgram,1,5,100000.0,0.6404341926729986,0.6463414634146342,0.614880705870374,0.626489618592684
svd,1,5,100000.0,0.6961598339387649,0.6993006993006993,0.4948544121020291,0.5068157833020639
cbow,1,6,112.88378916846884,0.5852555404794211,0.5975609756097561,0.5124594158696661,0.5296701242874498
skipgram,1,6,48.32930238571752,0.5748530076888286,0.5934959349593496,0.50198158352062,0.5232684394112194
svd,1,6,100000.0,0.6445993031358885,0.6353276353276354,0.5303077870562991,0.5273848070366559
cbow,1,7,100000.0,0.6006331976481231,0.6300813008130082,0.5357075473766467,0.5671396300719497
skipgram,1,7,18329.807108324338,0.5956580732700135,0.6260162601626016,0.5296323757934116,0.5632191123169453
svd,1,7,615.8482110660254,0.6724738675958188,0.6638176638176638,0.5467413978151137,0.5110952534881689
cbow,1,8,0.0233572146909012,0.6092265943012212,0.5894308943089431,0.549490063652671,0.5358779406882387
skipgram,1,8,0.0233572146909012,0.6092265943012212,0.5975609756097561,0.549455128687923,0.5431038534666648
svd,1,8,48.32930238571752,0.6826100728539753,0.6581196581196581,0.5495314657033433,0.5186334789578912
cbow,1,9,1438.449888287663,0.5997286295793759,0.5894308943089431,0.5409826743941228,0.5356957530673074
skipgram,1,9,20.69138081114788,0.5992763455450023,0.5853658536585366,0.540533984992233,0.5319193059667962
svd,1,9,112.88378916846884,0.6217105263157895,0.6236162361623616,0.5443711589616584,0.4928755075096538
cbow,1,10,0.6951927961775606,0.6065128900949797,0.5894308943089431,0.5475223696318784,0.5362284354550862
skipgram,1,10,0.6951927961775606,0.6056083220262325,0.5894308943089431,0.5466759313394456,0.5362284354550862
svd,1,10,0.2976351441631317,0.6046195652173914,0.6178861788617886,0.5467274459588882,0.5587425830565678
cbow,1,11,0.2976351441631317,0.6037991858887382,0.5853658536585366,0.5450227955402868,0.5325394946043774
skipgram,1,11,0.2976351441631317,0.602894617819991,0.5853658536585366,0.5442030196344491,0.5325394946043774
svd,1,11,0.1274274985703133,0.6028079710144928,0.6178861788617886,0.5451255197320919,0.5587425830565678
cbow,1,12,0.2976351441631317,0.6033469018543646,0.5813008130081301,0.5445914337265167,0.5288428911849109
skipgram,1,12,0.2976351441631317,0.6033469018543646,0.5853658536585366,0.5445914337265167,0.5325486350779937
svd,1,12,0.1274274985703133,0.6023550724637681,0.6178861788617886,0.5447093660856447,0.5587425830565678
cbow,1,13,0.2976351441631317,0.602894617819991,0.5813008130081301,0.5441811581153762,0.5288428911849109
skipgram,1,13,0.2976351441631317,0.602894617819991,0.5813008130081301,0.5441811581153762,0.5288428911849109
svd,1,13,0.1274274985703133,0.6000905797101449,0.6138211382113821,0.5426051143235945,0.5550696882751206
cbow,1,14,0.2976351441631317,0.6042514699231117,0.5853658536585366,0.5454534398876456,0.5325394946043774
skipgram,1,14,0.2976351441631317,0.6037991858887382,0.5853658536585366,0.5450440855395449,0.5325394946043774
