emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
svd,1,2,1000.0,0.8607594936708861,0.8366336633663366,0.8605412245055125,0.8359710906567392
skipgram,1,2,0.001,0.5189873417721519,0.5495049504950495,0.3546413502109704,0.38974472527124915
cbow,1,2,0.001,0.5189873417721519,0.5495049504950495,0.3546413502109704,0.38974472527124915
svd,1,3,1000.0,0.8414969730324711,0.8465346534653465,0.8412728871517127,0.8462447054422041
skipgram,1,3,1000.0,0.6554760594386351,0.6089108910891089,0.6382238107653668,0.5847998592962745
cbow,1,3,1000.0,0.6906989543203081,0.6485148514851485,0.6797456127691198,0.6323351561370112
svd,1,4,1000.0,0.8354430379746836,0.8465346534653465,0.8351317155506439,0.8462447054422041
skipgram,1,4,1000.0,0.7908640616400661,0.7326732673267327,0.7884545860635784,0.7263461694530109
cbow,1,4,1000.0,0.7716015410016511,0.7277227722772277,0.7676941111720913,0.720810124909295
svd,1,5,1000.0,0.8183819482663731,0.8217821782178217,0.8164720408089992,0.8200387430047352
skipgram,1,5,1000.0,0.782608695652174,0.7475247524752475,0.7771506200671503,0.7333463395600643
cbow,1,5,1000.0,0.7611447440836544,0.693069306930693,0.7514804508282968,0.6653793737582714
svd,1,6,215.44346900318823,0.8084755090809026,0.7722772277227723,0.8046157264612974,0.7671787868442015
skipgram,1,6,215.44346900318823,0.7798569069895432,0.7277227722772277,0.7727258587825379,0.7093594967457266
cbow,1,6,215.44346900318823,0.7710511832691249,0.7178217821782178,0.762841819304634,0.6970692155410736
svd,1,7,1000.0,0.7501375894331316,0.6683168316831684,0.7427183280277597,0.6603739647292557
skipgram,1,7,1000.0,0.7341772151898734,0.7128712871287128,0.7260620763551774,0.6975040925564362
cbow,1,7,1000.0,0.7352779306549257,0.7178217821782178,0.7275166347861628,0.703443607284575
svd,1,8,10.0,0.7484865162355531,0.6732673267326733,0.7481923030324189,0.6730109904194304
skipgram,1,8,10.0,0.7380297193175565,0.7524752475247525,0.7377724680690587,0.7522051312274084
cbow,1,8,10.0,0.7358282883874518,0.7475247524752475,0.7355899334815528,0.7470922064273465
svd,1,9,215.44346900318823,0.7413318657127133,0.7128712871287128,0.7411363340220135,0.7125332234950339
skipgram,1,9,46.41588833612773,0.7363786461199779,0.7524752475247525,0.7361303614691624,0.7522051312274084
cbow,1,9,46.41588833612773,0.7374793615850302,0.7475247524752475,0.737210865186759,0.7470922064273465
svd,1,10,215.44346900318823,0.7314254265272427,0.7376237623762376,0.7307292493028686,0.7363863547926844
skipgram,1,10,0.4641588833612777,0.7303247110621904,0.7475247524752475,0.7292674254518855,0.744797523942247
cbow,1,10,1000.0,0.7308750687947165,0.7376237623762376,0.730161179776151,0.7363863547926844
svd,1,11,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7309393117519106,0.7419599372684607
skipgram,1,11,215.44346900318823,0.7314254265272427,0.7475247524752475,0.7308826155397044,0.7467392823057412
cbow,1,11,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7309393117519106,0.7419599372684607
svd,1,12,46.41588833612773,0.732526141992295,0.7425742574257426,0.7321470299718595,0.7419599372684607
skipgram,1,12,1000.0,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
cbow,1,12,2.154434690031882,0.7303247110621904,0.7425742574257426,0.729836604013189,0.7419599372684607
svd,1,13,10.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,13,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,13,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,1,20,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,1,20,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,1,20,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,2,215.44346900318823,0.9510181618051734,0.915841584158416,0.9510502305647309,0.9156822990019672
skipgram,2,2,1000.0,0.5591634562465603,0.6336633663366337,0.555691350181874,0.6309633616663552
cbow,2,2,1000.0,0.9807374793615852,0.9752475247524752,0.9807426412827908,0.9752591533910456
svd,2,3,46.41588833612773,0.953219592735278,0.9257425742574258,0.9532489124286494,0.9254812524441812
skipgram,2,3,1000.0,0.8673637864611998,0.8415841584158416,0.8666385880735173,0.8414133178023685
cbow,2,3,0.0215443469003188,0.973032471106219,0.9653465346534652,0.9730420975655664,0.9653901561944421
svd,2,4,1000.0,0.9499174463401212,0.915841584158416,0.9499445026188881,0.9156369901165152
skipgram,2,4,2.154434690031882,0.8018712162905889,0.7871287128712872,0.8000834971950614,0.7857643878966881
cbow,2,4,1000.0,0.9669785360484314,0.9455445544554456,0.9669895403219632,0.9456452015491601
svd,2,5,46.41588833612773,0.9284534947716016,0.905940594059406,0.9284914330650682,0.9057628839807058
skipgram,2,5,1000.0,0.6989543203082004,0.7128712871287128,0.6976162941735198,0.7100996072457925
cbow,2,5,2.154434690031882,0.8959823885525592,0.905940594059406,0.8959960782139291,0.9059847828859737
svd,2,6,2.154434690031882,0.7495872317006054,0.7178217821782178,0.7476209585720853,0.7153259908900982
